Name,R_1,R_2,RRR_1,RRR_2
A10L1,2.529999999999997,3.1300000000000003,78.31400167043277,70.35344691681026
A10L2,1.77,1.6999999999999997,96.78539546647139,101.106504622535
A10L3,1.8100000000000003,3.4599999999999995,95.95614563437317,61.141317629472105
A10L4,3.0900000000000283,3.210000000000001,70.74825409990856,68.73171710454288
A10L5,3.1600000000000006,3.210000000000001,69.74295839809092,68.73171710454288
A10L6,3.03,3.400000000000001,71.53341464630975,65.45791952580721
A10L7,3.310000141193014,3.2600000000000016,67.19212096326802,67.7519122227926
A10L8,2.400000000000003,2.4799999999999818,80.40070272144557,79.08549669352671
A10R1,1.67,1.67,100.31451566000446,100.31451566000446
A10R2,1.8299999999999998,3.3000000000097947,94.32351566615597,67.44303788811109
A10R3,3.2099999999999995,2.450000000000002,68.37476174248951,79.59764615112702
A10R4,3.289999999999999,3.15,68.13512170581375,69.97010621488656
A10R5,3.11,2.4300000000000006,70.2908110941323,79.89986949478443
A10R6,1.8,1.93,95.65008800371686,91.38914903100921
A10R7,3.2200000000000015,3.2200000000000015,69.30246088141651,69.30246088141651
A10R8,3.3100000000000125,3.310000141193014,66.6210185838169,67.19212096326802
A11L1,1.7400000000000002,3.32,97.96677628651337,67.66559710105976
A11L2,1.6999999999999997,3.400000000000001,101.106504622535,65.45791952580721
A11L3,1.7499999999999998,1.8299999999999998,99.6289270513348,94.32351566615597
A11L4,2.4800000000000004,2.4300000000000015,79.10202191429511,79.91564766114065
A11L5,3.289999999999999,3.1,68.13512170581375,70.752888773442
A11L6,1.8100000000000003,3.25,95.95614563437317,68.22162291037226
A11L7,1.8299999999999998,1.67,94.71508838982798,100.31451566000446
A11L8,3.2400000000000007,3.21,66.94333085452014,68.07622572204467
A11R1,1.67,1.8499999999999999,100.31451566000446,94.10394295985523
A11R2,3.400000000000001,3.3100000000000125,65.45791952580721,66.6210185838169
A11R3,2.4800000000000004,2.4300000000000015,79.10202191429511,79.91564766114065
A11R4,3.2600000000000016,3.1300000000000003,67.7519122227926,70.35344691681026
A11R5,3.15,3.15,69.97010621488656,69.97010621488656
A11R6,3.289999999999999,1.93,68.13512170581375,91.38914903100921
A11R7,3.08,3.3100000000000125,70.92620638880226,66.6210185838169
A11R8,3.2600000000000016,3.0200000000000027,67.7519122227926,71.68679046426837
A12L1,3.25,3.7,68.09926754352253,54.73594914052305
A12L2,1.6999999999999997,1.6999999999999997,101.106504622535,101.106504622535
A12L3,3.25,3.1200000000000006,68.22162291037226,70.36876554941088
A12L4,1.92,3.7,92.00434744749462,54.73594914052305
A12L5,3.1400000000000006,3.1400000000000006,70.26040277030548,70.26040277030548
A12L6,1.8299999999999998,1.74,94.71508838982798,97.96870463516547
A12L7,3.310000141193014,3.2400000000000007,67.19212096326802,67.59410659048159
A12L8,3.320000000000004,3.0100000000000118,66.96853432549321,71.77217049437834
A12R1,1.67,2.450000000000002,100.31451566000446,79.59764615112702
A12R2,3.1599999999999997,3.3000000000097947,70.07018630242422,67.44303788811109
A12R3,3.1799999999742785,3.08,69.74655266092758,70.92620638880226
A12R4,1.6999999999999997,1.8499999999999999,101.106504622535,94.10394295985523
A12R5,3.3000000000000025,3.03,67.81747258741485,71.53341464630975
A12R6,1.7899999999999998,1.81,96.14625244938793,95.8748204483924
A12R7,3.27,3.3100000000000125,66.66732040398628,66.6210185838169
A12R8,2.4300000000000006,3.15,79.89986949478443,69.97010621488656
A13L1,1.82,3.19,94.98000661467277,69.08204078566787
A13L2,3.320000000000004,3.02,66.96853432549321,71.69505965461342
A13L3,3.03,3.1200000000000006,71.53341464630975,70.36876554941088
A13L4,2.4800000000000004,1.8499999999999999,79.10202191429511,94.10394295985523
A13L5,3.1400000000000006,3.15,70.26040277030548,69.97010621488656
A13L6,3.3000000000000025,3.0800000000000005,67.81747258741485,70.76365748864274
A13L7,1.82,3.16,94.98000661467277,69.84073116587685
A13L8,3.289999999999999,3.3000000000097947,68.13512170581375,67.44303788811109
A13R1,1.67,3.2799999999999994,100.31451566000446,67.87449965452625
A13R2,3.400000000000001,3.3000000000000025,65.45791952580721,67.81747258741485
A13R3,1.92,1.68,92.00434744749462,100.45740439836791
A13R4,2.529999999999997,3.6000000000000005,78.31400167043277,60.43712854708486
A13R5,2.400000000000003,1.8299999999999998,80.40070272144557,94.32351566615597
A13R6,1.7300000000000002,3.1200000000000006,97.7700238334445,70.36876554941088
A13R7,3.390000000000002,3.0900000000000003,67.570380167343,70.87720413274648
A13R8,3.11,2.450000000000002,70.2908110941323,79.59764615112702
A14L1,3.2799999999999474,3.7,68.32892020652831,54.73594914052305
A14L2,3.400000000000001,3.2400000000000007,65.45791952580721,67.59410659048159
A14L3,1.68,3.3000000000097947,99.6525631876629,67.44303788811109
A14L4,1.8,3.210000000000001,95.65008800371686,68.73171710454288
A14L5,2.5,3.32,78.792057073657,67.66559710105976
A14L6,2.9799999999999986,3.0800000000000005,71.9167377486337,70.76365748864274
A14L7,1.7300000000000002,1.75,97.7700238334445,96.83501939690875
A14L8,3.3000000000097947,3.27,67.44303788811109,66.66732040398628
A14R1,3.400000000000001,2.9899999999999993,65.45791952580721,72.05491275077262
A14R2,3.1599999999999997,3.210000000000001,70.07018630242422,68.73171710454288
A14R3,2.4299999999999997,2.450000000000002,79.9134887858741,79.59764615112702
A14R4,3.2400000000000007,3.210000000000001,67.59410659048159,68.73171710454288
A14R5,3.1400000000000006,1.9499999999999997,70.26040277030548,91.06495839468394
A14R6,3.310000141193014,3.2600000000000016,67.19212096326802,67.7519122227926
