,2Hz,5Hz,13Hz,21Hz,66Hz,150Hz,LF_Noise,HF_Noise
0.0,1,0,0,0,0,0,0,0
1.5688341679530304,1,1,0,0,0,0,0,0
3.137668335906061,1,1,0,0,0,0,0,0
4.706502503859091,0,1,0,0,0,0,0,0
6.275336671812122,0,1,0,1,0,0,0,0
7.844170839765152,0,1,0,1,0,0,1,0
9.413005007718182,0,1,0,1,0,0,1,0
10.981839175671212,0,1,0,1,0,0,1,0
12.550673343624243,0,0,0,1,0,0,1,0
14.119507511577275,0,0,0,1,0,0,1,0
15.688341679530303,0,0,0,1,0,0,1,0
17.25717584748333,0,0,0,1,0,0,1,0
18.826010015436363,0,0,0,1,0,0,1,0
20.394844183389395,0,0,0,1,0,0,1,0
21.963678351342423,0,0,0,1,0,0,1,0
23.532512519295455,0,0,0,1,0,0,1,0
25.101346687248487,0,0,0,1,0,0,1,0
26.670180855201515,0,0,0,1,0,0,1,0
28.23901502315455,0,0,0,1,0,0,1,0
29.80784919110758,0,0,0,1,0,0,1,0
31.376683359060607,0,0,0,1,0,0,1,0
32.945517527013635,0,0,0,1,0,0,1,0
34.51435169496666,0,0,0,1,0,0,1,0
36.0831858629197,0,0,0,1,0,0,1,0
37.65202003087273,0,0,0,1,0,0,1,0
39.22085419882576,0,0,0,1,0,0,1,0
40.78968836677879,0,0,0,1,0,0,1,0
42.35852253473182,0,0,0,1,0,0,1,0
43.92735670268485,0,0,0,1,0,0,1,0
45.49619087063788,0,0,0,1,0,0,1,0
47.06502503859091,0,0,0,1,0,1,1,0
48.63385920654394,0,0,0,1,0,1,1,0
50.202693374496974,0,0,0,1,0,1,1,0
51.77152754245,0,0,0,0,1,0,1,0
53.34036171040303,0,0,0,0,1,0,1,0
54.90919587835606,0,0,0,0,1,0,1,0
56.4780300463091,0,0,0,0,1,0,1,0
58.04686421426213,0,0,0,0,1,0,1,0
59.61569838221516,0,0,0,0,1,0,1,0
61.184532550168186,0,0,0,0,1,0,1,0
62.753366718121214,0,0,0,0,1,0,1,0
64.32220088607424,0,0,0,0,1,0,1,0
65.89103505402727,0,0,0,0,1,0,0,0
67.4598692219803,0,0,0,0,1,0,0,1
69.02870338993333,0,0,0,0,1,0,0,1
70.59753755788637,0,0,0,0,1,0,0,1
72.1663717258394,0,0,0,0,1,0,0,1
73.73520589379243,0,0,0,0,1,0,0,1
75.30404006174545,0,0,0,0,1,0,0,1
76.8728742296985,0,0,0,0,1,0,0,1
78.44170839765152,0,0,0,0,1,0,0,1
80.01054256560455,0,0,0,0,1,0,0,1
81.57937673355758,0,0,0,0,1,0,0,1
83.14821090151061,0,0,0,0,0,0,0,1
84.71704506946364,0,0,0,0,0,0,0,1
86.28587923741667,0,0,0,0,0,0,0,1
87.8547134053697,0,0,0,0,0,0,0,1
89.42354757332274,0,0,0,0,0,0,0,1
90.99238174127576,0,0,0,0,0,0,0,1
92.56121590922879,0,0,0,0,0,0,0,1
94.13005007718182,0,0,0,0,0,0,0,1
95.69888424513485,0,0,0,0,0,0,0,1
97.26771841308788,0,0,0,0,0,0,0,1
98.83655258104092,0,0,0,0,0,0,0,1
100.40538674899395,0,0,0,0,0,0,0,1
101.97422091694698,0,0,0,0,0,0,0,1
103.5430550849,0,0,0,0,0,0,0,1
105.11188925285303,0,0,0,0,0,0,0,1
106.68072342080606,0,0,0,0,0,0,0,1
108.2495575887591,0,0,0,0,0,0,0,1
109.81839175671212,0,0,0,0,0,0,0,1
111.38722592466516,0,0,0,0,0,0,0,1
112.9560600926182,0,0,0,0,0,0,0,1
114.52489426057122,0,0,0,0,0,0,0,1
116.09372842852426,0,0,0,0,0,0,0,1
117.66256259647727,0,0,0,0,0,0,0,1
119.23139676443031,0,0,0,0,0,0,0,1
120.80023093238334,0,0,0,0,0,0,0,1
122.36906510033637,0,0,0,0,0,0,0,1
123.9378992682894,0,0,0,0,0,0,0,1
125.50673343624243,0,0,0,0,0,0,0,1
127.07556760419546,0,0,0,0,0,0,0,1
128.64440177214848,0,0,0,0,0,0,0,1
130.21323594010153,0,0,0,0,0,0,0,1
131.78207010805454,0,0,0,0,0,0,0,1
133.35090427600758,0,0,0,0,0,0,0,1
134.9197384439606,0,0,0,0,0,0,0,1
136.48857261191364,0,0,0,0,0,0,0,1
138.05740677986665,0,0,0,0,0,0,0,1
139.6262409478197,0,0,0,0,0,0,0,1
141.19507511577274,0,0,0,0,0,0,0,1
142.76390928372575,0,0,0,0,0,0,0,1
144.3327434516788,0,0,0,0,0,0,0,1
145.90157761963184,0,0,0,0,0,0,0,1
147.47041178758485,0,0,0,0,0,1,0,1
149.0392459555379,0,0,0,0,0,1,0,1
150.6080801234909,0,0,0,0,0,1,0,1
152.17691429144395,0,0,0,0,0,1,0,1
153.745748459397,0,0,0,0,0,1,0,1
155.31458262735,0,0,0,0,0,0,0,1
156.88341679530305,0,0,0,0,0,0,0,1
158.45225096325606,0,0,0,0,0,0,0,1
160.0210851312091,0,0,0,0,0,0,0,1
161.58991929916215,0,0,0,0,0,0,0,1
163.15875346711516,0,0,0,0,0,0,0,1
164.7275876350682,0,0,0,0,0,0,0,1
166.29642180302122,0,0,0,0,0,0,0,1
167.86525597097426,0,0,0,0,0,0,0,1
169.43409013892727,0,0,0,0,0,0,0,1
171.00292430688032,0,0,0,0,0,0,0,1
172.57175847483333,0,0,0,0,0,0,0,1
174.14059264278637,0,0,0,0,0,0,0,1
175.7094268107394,0,0,0,0,0,0,0,1
177.27826097869243,0,0,0,0,0,0,0,1
178.84709514664547,0,0,0,0,0,0,0,1
180.4159293145985,0,0,0,0,1,0,0,1
181.98476348255153,0,0,0,0,1,0,0,1
183.55359765050454,0,0,0,0,1,0,0,1
185.12243181845758,0,0,0,0,1,0,0,1
186.69126598641063,0,0,0,0,1,0,0,1
188.26010015436364,0,0,0,0,1,0,0,1
189.82893432231668,0,0,0,0,1,0,0,1
191.3977684902697,0,0,0,0,1,0,0,1
192.96660265822274,0,0,0,0,1,0,0,1
194.53543682617575,0,0,0,0,1,0,0,1
196.10427099412883,0,0,0,0,1,0,0,1
197.67310516208184,0,0,0,0,1,0,0,1
199.24193933003485,0,0,0,0,1,0,0,1
200.8107734979879,0,0,0,0,1,0,0,1
202.37960766594094,0,0,0,0,1,0,0,1
203.94844183389395,0,0,0,0,1,0,0,1
205.517276001847,0,0,0,0,1,0,0,1
207.0861101698,0,0,0,0,0,0,0,1
208.65494433775302,0,0,0,0,0,0,0,1
210.22377850570606,0,0,0,0,0,0,0,1
211.7926126736591,0,0,0,0,0,0,0,1
213.36144684161212,0,0,0,0,0,0,0,1
214.93028100956514,0,0,0,0,0,0,0,1
216.4991151775182,0,0,0,0,0,0,0,1
218.06794934547122,0,0,0,0,0,0,0,1
219.63678351342423,0,0,0,0,0,0,0,1
221.2056176813773,0,0,0,0,0,0,0,1
222.77445184933032,0,0,0,0,0,0,0,1
224.34328601728333,0,0,0,0,0,0,0,1
225.9121201852364,0,0,0,0,0,0,0,1
227.48095435318942,0,0,0,0,0,0,0,1
229.04978852114243,0,0,0,0,0,0,0,1
230.61862268909545,0,0,0,0,0,0,0,1
232.18745685704852,0,0,0,0,0,0,0,1
233.75629102500153,0,0,0,0,0,0,0,1
235.32512519295454,0,0,0,0,0,0,0,1
236.89395936090762,0,0,0,0,0,0,0,1
238.46279352886063,0,0,0,0,0,0,0,1
240.03162769681364,0,0,0,0,0,0,0,1
241.6004618647667,0,0,0,0,0,0,0,1
243.1692960327197,0,0,0,0,0,0,0,1
244.73813020067274,0,0,0,0,0,0,0,1
246.30696436862578,0,0,0,0,0,0,0,1
247.8757985365788,0,0,0,0,0,0,0,1
249.4446327045318,0,0,0,0,0,0,0,1
251.01346687248486,0,0,0,0,0,0,0,1
252.5823010404379,0,0,0,0,0,0,0,1
