Circuit,Magnet,Position,B1_aperture,Diode_type,Correctors,EE place,#Electric_EE,#Electric_circuit,Cryostat,Cryostat2,QPS Crate&Board,Bus Bar Segment Name,1st Magnet,2nd Magnet,Num of splices,Dcum1,Dcum2,QPS Crate,QPS Board,#Segment,cryostat_group,phys_pos,Phys. Position,El. Position,Name,R_1,R_2,RRR_1,RRR_2,Short magnet ID,age,Manufacturer,Inner cable type,Outer cable type,I_Q_SM18,Renamed short magnet ID,MTF Status,Magnet_construction_order,QPS Crate Number,Cryostat Number
RB.A45,MB.B16L5,12651.8709,INT,L,A,EVEN,11,88,LBALA.16L5,LBALA_16L5,B15L5_2,DCBA.16L5.L,MB.C15L5,MB.B16L5,3,12681.8309,12644.0409,B15L5,2,89,16L5,133.0,133,88,B16L5,3.289999999999999,1.83,68.13512170581375,94.32351566615596,3227,14.0,3.0,01E,02B8,10725.0,,,227,2,1
RB.A45,MB.A16L5,12667.5309,INT,L,B,ODD,67,67,LBBLC.16L5,LBBLC_16L5,B16L5_2,DCBA.16L5.R,MB.C16L5,MB.A16L5,2,12628.3809,12659.7009,B16L5,2,67,16L5,134.0,134,67,A16L5,3.0900000000000283,3.210000000000001,70.74825409990856,68.73171710454288,2143,14.0,2.0,01E,02B8,12295.0,,,143,2,2
RB.A45,MB.C15L5,12689.6609,INT,L,A,EVEN,10,87,LBALA.15L5,LBALA_15L5,B15L5_1,DCBA.B15L5.L,MB.A15L5,MB.C15L5,2,12713.1509,12681.8309,B15L5,1,88,15L5,135.0,135,87,C15L5,3.0900000000000283,1.74,70.74825409990856,97.96870463516548,3223,14.0,3.0,01E,02G,8166.0,,,223,1,0
RB.A45,MB.B15L5,12705.3209,INT,L,B,ODD,68,68,LBBLA.15L5,LBBLA_15L5,B14L5_0,DCBA.B15L5.R,MB.A16L5,MB.B15L5,3,12659.7009,12697.4909,B14L5,0,68,15L5,136.0,136,68,B15L5,3.0900000000000283,3.2400000000000126,70.74825409990856,67.99534303947361,1196,14.0,1.0,01E,02B5,11270.0,,,196,0,1
RB.A45,MB.A15L5,12720.9809,INT,L,A,EVEN,9,86,LBALB.15L5,LBALB_15L5,B15L5_0,DCBA.A15L5.L,MB.B14L5,MB.A15L5,3,12750.9409,12713.1509,B15L5,0,87,15L5,137.0,137,86,A15L5,3.0900000000000283,2.979999999999998,70.74825409990856,71.9167377486337,3391,14.0,3.0,01E,02G,9841.0,,,391,0,2
RB.A45,MB.C14L5,12743.1109,INT,L,B,ODD,69,69,LBBLA.14L5,LBBLA_14L5,B14L5_1,DCBA.A15L5.R,MB.B15L5,MB.C14L5,3,12697.4909,12735.2809,B14L5,1,69,14L5,138.0,138,69,C14L5,3.2400000000000007,3.15,67.59410659048159,69.97010621488656,3218,14.0,3.0,01E,02G,10289.0,,,218,1,0
RB.A45,MB.B14L5,12758.7709,INT,L,A,EVEN,8,85,LBALA.14L5,LBALA_14L5,B13L5_2,DCBA.14L5.L,MB.C13L5,MB.B14L5,3,12788.7309,12750.9409,B13L5,2,86,14L5,139.0,139,85,B14L5,3.1,3.15,70.752888773442,69.97010621488656,3203,14.0,3.0,01E,02G,12151.0,,,203,2,1
RB.A45,MB.A14L5,12774.4309,INT,L,B,ODD,70,70,LBBLC.14L5,LBBLC_14L5,B14L5_2,DCBA.14L5.R,MB.C14L5,MB.A14L5,2,12735.2809,12766.6009,B14L5,2,70,14L5,140.0,140,70,A14L5,2.5,3.32,78.792057073657,67.66559710105976,2140,14.0,2.0,01E,02B8,10858.0,,,140,2,2
RB.A45,MB.C13L5,12796.5609,INT,L,A,EVEN,7,84,LBALA.13L5,LBALA_13L5,B13L5_1,DCBA.B13L5.L,MB.A13L5,MB.C13L5,2,12820.0509,12788.7309,B13L5,1,85,13L5,141.0,141,84,C13L5,2.529999999999997,3.2600000000000016,78.31400167043277,67.7519122227926,3230,14.0,3.0,01E,02B8,12599.0,,,230,1,0
RB.A45,MB.B13L5,12812.2209,INT,L,B,ODD,71,71,LBBLA.13L5,LBBLA_13L5,B12L5_0,DCBA.B13L5.R,MB.A14L5,MB.B13L5,3,12766.6009,12804.3909,B12L5,0,71,13L5,142.0,142,71,B13L5,1.7400000000000002,3.32,97.96677628651337,67.66559710105976,1212,14.0,1.0,01E,02C9,12402.0,,,212,0,1
