,component_0,component_1,component_2
0.0,0.43578107175421504,1.1296482816334622e-07,5.520395754867494e-07
3.3702715090726985,1.0,1.6943012868021267e-06,3.26866908656412e-08
6.740543018145397,0.3823198779691751,5.191029561330459e-07,0.03254717813320107
10.110814527218094,0.09946594007394743,0.005715063885253745,0.10638197818447187
13.481086036290794,0.03851673891302909,0.008510454590301616,0.1886322379734449
16.85135754536349,0.022690389828080117,0.028247651241167793,0.7179690210657648
20.22162905443619,0.020725388638071923,0.04425872109354321,1.0
23.591900563508887,0.014372252442999132,0.028586102021874185,0.5008875499156813
26.962172072581588,0.010156171769932026,0.01509213914718544,0.21366773179881987
30.332443581654285,0.008546422608839975,0.012556285121941207,0.1857675510967088
33.70271509072698,0.009036901553913106,0.014899137424441381,0.18436037331816862
37.072986599799684,0.009712551209746447,0.019993335195127675,0.1897120231425684
40.44325810887238,0.010301831110221928,0.02459291757447136,0.18646802987050348
43.81352961794508,0.010128451658794169,0.03245185137714591,0.18671990068674701
47.18380112701777,0.010808536071840211,0.03719556188538575,0.26224140476523294
50.554072636090474,0.011670473755322786,0.04613439922989792,0.3797591236376627
53.924344145163175,0.011135323317483755,0.07067359149975909,0.18847656789754322
57.29461565423587,0.012924569968588715,0.11266439045213113,0.11648533893489917
60.66488716330857,0.02049153751203307,0.22748105985684436,0.00012495781448246048
64.03515867238126,0.05364001051084364,0.6221066802319359,0.0005494244682374798
67.40543018145397,0.08698303532827419,1.0,0.02332632749161911
70.77570169052667,0.0477198152670557,0.6310117151214961,0.0006105430874165518
74.14597319959937,0.01498841882095085,0.2507822449244838,8.206809471705398e-06
77.51624470867206,0.00887731420060132,0.13343062761162086,0.061059255500422495
80.88651621774476,0.0069827204986669614,0.08543954061979081,0.09977117494209152
84.25678772681746,0.005654900625411055,0.061600198611628056,0.12705076024472128
87.62705923589016,0.0052006583669649605,0.047592476439717604,0.1394673881339143
90.99733074496285,0.004831765056775484,0.039994835323955535,0.14141930554090346
94.36760225403555,0.004407483740424979,0.03427228085054431,0.1457931949866386
97.73787376310825,0.004136927190001817,0.028989151711520944,0.16381572967462554
101.10814527218095,0.004004656282205668,0.02514687805051288,0.1770768606814746
104.47841678125364,0.003747796108607191,0.021467922427991674,0.1700817333165894
107.84868829032635,0.0033895563448051915,0.018376266940247597,0.19670341414364054
111.21895979939906,0.003243202547029272,0.015239447538307332,0.193139662462311
114.58923130847174,0.003368562812285595,0.01367340126997338,0.17602686750258936
117.95950281754445,0.00326364480892472,0.012223007484987529,0.17718997583828291
121.32977432661714,0.0033005506358192234,0.010531981950977489,0.17648579751945428
124.70004583568983,0.003079558803087398,0.009683879992489425,0.1815502446145478
128.07031734476251,0.002935873380475328,0.009258884901393795,0.18625920375404686
131.44058885383524,0.0028408649339669054,0.009233870115933017,0.18660867159438546
134.81086036290793,0.002551872241887617,0.00935363172814674,0.18629504299204033
138.18113187198063,0.002572059862010394,0.009492680296071896,0.18424587822546634
141.55140338105335,0.002557229037402128,0.010386632331174232,0.1827510446463473
144.921674890126,0.002643534544828677,0.01114061119554419,0.19943282409730964
148.29194639919874,0.003933259938523777,0.013651623628376781,0.45083799900431754
151.66221790827143,0.0039061060040471033,0.015058912669064556,0.44911007105566497
155.03248941734412,0.0025322101193798728,0.01579748635155749,0.19100551592200707
158.40276092641682,0.0022331853814120005,0.01838966979503525,0.16875270621037722
161.7730324354895,0.002098676796164595,0.02174023421065432,0.1623696577324251
165.1433039445622,0.0022081999420579435,0.025011862415830536,0.15530647256901164
168.51357545363493,0.0021955494075105537,0.028932895893778825,0.1482968581492182
171.88384696270762,0.002371283881419938,0.03309547321880737,0.14111946175439838
175.25411847178032,0.0023918254261491366,0.03965580236053704,0.13214811317495911
178.624389980853,0.002592362678029292,0.049022356734756356,0.1158448695221366
