,component_0,component_1,component_2,component_3,component_4,component_5,component_6,component_7
0.0,0.5131067831897164,1.6340062776193887e-08,7.342381721356806e-05,0.011272599071382268,6.142698643284857e-08,0.0006452852540033739,0.0005254249339819674,0.0001770999672553652
3.3702715090726985,1.0,0.0007839854926276242,1.7612444059208594e-05,0.033887226484685146,0.7172449664226235,0.0014724164692504426,0.02075748395665964,0.03662270783225294
6.740543018145397,0.242039207116487,6.270826652693993e-08,1.503283688516991e-05,8.855356598074498e-07,1.0,5.145781893793309e-08,1.835989779706875e-07,1.8667888664143988e-08
10.110814527218094,0.013272414103073307,6.425159471042567e-06,0.1093587252844356,2.009175274739207e-05,0.6311738719961125,0.002884231677727496,0.016771205224399066,0.0015163622658002063
13.481086036290794,0.004347830130341273,0.004107976326154697,0.3981008056847891,0.0001105064335815866,0.14812343460196206,0.009722599977927125,0.008030539908257103,0.17360716596951192
16.85135754536349,0.0047634851625211255,0.013253595018319375,0.104198047441065,2.6599156083810533e-05,0.049084448964541325,0.007568238757624231,0.003777980332582749,0.6628547590930313
20.22162905443619,0.0023320694023702517,0.021302018939219194,0.0289738884512288,8.253034752293478e-05,0.03779816409792582,0.007029399912952925,0.0019496422659716396,0.93779158406479
23.591900563508887,0.0011394639780420086,0.012865621040586132,0.27734417050118443,0.00019178832547043858,0.02731752135681197,0.02854616865798319,0.006576311063361615,0.455908829921629
26.962172072581588,0.002178546128992187,0.0073649659062560765,0.6010036915096513,0.0006934724942277749,0.02076184025941415,0.04145910875375448,0.015254652123341835,0.11479953258362566
30.332443581654285,0.0024929069645787333,0.006039185877656407,0.6641296648214783,3.69687367882385e-05,0.016197157037221122,0.04559101577810873,0.021682208481925674,0.0631419598814673
33.70271509072698,0.0021016983754095285,0.006602488832056016,0.6331496027606447,2.298591972166309e-05,0.015449546107853504,0.061817576588602485,0.026012632948307458,0.06529298631455285
37.072986599799684,0.00235440381772753,0.007654174854599096,0.5953721095426545,3.372837534318164e-05,0.014675673566346066,0.08950244534681187,0.032232876419654215,0.06596703246856735
40.44325810887238,0.0032188302191450266,0.00862399891636935,0.5662124468640748,1.7757005633049402e-05,0.013142534817217095,0.11952280597315917,0.0470297394176145,0.047998376118229075
43.81352961794508,0.0027847393152986887,0.012924723532116766,0.5434068655136317,1.804195364842257e-06,0.010222993978528064,0.1498557533522197,0.057853148743793346,0.04245036515738894
47.18380112701777,0.004147398536522362,0.014471321001609142,0.5824324848165799,7.003626368723537e-07,0.008432012888837093,0.1711164857425112,0.20281883336493842,0.03179984523022888
50.554072636090474,0.006613548062277141,0.01692213822875888,0.7394534829927808,2.2126057841984683e-06,0.006344968451445652,0.20646218033642302,0.3407988914855334,0.03108870881384887
53.924344145163175,0.006284273120498467,0.027769586302396797,0.35315566358412737,8.139203607141553e-06,0.0038209930288793017,0.26403064134941995,0.07900583892979426,0.04402274102349153
57.29461565423587,0.007664963590422563,0.04788803528482179,0.1802275238344697,2.0379325332506465e-05,0.0021337691392525047,0.35996958977165683,0.004572497992106783,0.05633374928302325
