"",3Hz,6Hz,143Hz,20Hz,65Hz,Noise
0.0,0.5131067831897164,0,0,0,0,1
3.3702715090726985,1.0,0.7172449664226235,0,0,0,1
6.740543018145397,0.242039207116487,1.0,0,0,0,1
10.110814527218094,0,0.6311738719961125,0,0,0,1
13.481086036290794,0,0.14812343460196206,0,0,0,1
16.85135754536349,0,0,0,0.6628547590930313,0,1
20.22162905443619,0,0,0,0.93779158406479,0,1
23.591900563508887,0,0,0,0.455908829921629,0,1
26.962172072581588,0,0,0,0.11479953258362566,0,1
30.332443581654285,0,0,0,0,0,1
33.70271509072698,0,0,0,0,0,1
37.072986599799684,0,0,0,0,0,1
40.44325810887238,0,0,0,0,0,1
43.81352961794508,0,0,0,0,0,1
47.18380112701777,0,0,0,0,0.03719556188538575,1
50.554072636090474,0,0,0,0,0.04613439922989792,1
53.924344145163175,0,0,0,0,0.07067359149975909,1
57.29461565423587,0,0,0,0,0.11266439045213113,1
60.66488716330857,0,0,0,0,0.22748105985684436,1
64.03515867238126,0,0,0,0,0.6221066802319359,1
67.40543018145397,0,0,0,0,1.0,1
70.77570169052667,0,0,0,0,0.6310117151214961,1
74.14597319959937,0,0,0,0,0.2507822449244838,1
77.51624470867206,0,0,0,0,0.13343062761162086,1
80.88651621774476,0,0,0,0,0.08543954061979081,1
84.25678772681746,0,0,0,0,0.061600198611628056,1
87.62705923589016,0,0,0,0,0.047592476439717604,1
90.99733074496285,0,0,0,0,0.039994835323955535,1
94.36760225403555,0,0,0,0,0.03427228085054431,1
97.73787376310825,0,0,0,0,0.028989151711520944,1
101.10814527218095,0,0,0,0,0.02514687805051288,1
104.47841678125364,0,0,0,0,0.021467922427991674,1
107.84868829032635,0,0,0,0,0,1
111.21895979939906,0,0,0,0,0,1
114.58923130847174,0,0,0,0,0,1
117.95950281754445,0,0,0,0,0,1
121.32977432661714,0,0,0,0,0,1
124.70004583568983,0,0,0,0,0,1
128.07031734476251,0,0,0,0,0,1
131.44058885383524,0,0,0,0,0,1
134.81086036290793,0,0,0,0,0,1
138.18113187198063,0,0,0,0,0,1
141.55140338105335,0,0,0,0,0,1
144.921674890126,0,0,0.1548510279819589,0,0,1
148.29194639919874,0,0,1.0,0,0,1
151.66221790827143,0,0,0.9950690511617172,0,0,1
155.03248941734412,0,0,0.14778744146093145,0,0,1
158.40276092641682,0,0,0,0,0,1
161.7730324354895,0,0,0,0,0.02174023421065432,1
165.1433039445622,0,0,0,0,0.025011862415830536,1
168.51357545363493,0,0,0,0,0.028932895893778825,1
171.88384696270762,0,0,0,0,0.03309547321880737,1
175.25411847178032,0,0,0,0,0.03965580236053704,1
178.624389980853,0,0,0,0,0.049022356734756356,1
181.9946614899257,0,0,0,0,0.06650820010335404,1
185.36493299899843,0,0,0,0,0.09921776916679233,1
188.7352045080711,0,0,0,0,0.15491999191930286,1
192.10547601714381,0,0,0,0,0.18249754678459504,1
195.4757475262165,0,0,0,0,0.18015857316168393,1
198.8460190352892,0,0,0,0,0.15388390395978005,1
202.2162905443619,0,0,0,0,0.10634203907794774,1
205.5865620534346,0,0,0,0,0.06706782564144805,1
208.95683356250728,0,0,0,0,0.046725043997888106,1
212.32710507157998,0,0,0,0,0.036111348159416475,1
215.6973765806527,0,0,0,0,0.029087765294818484,1
219.0676480897254,0,0,0,0,0.02272087890969118,1
222.43791959879812,0,0,0,0,0,1
225.80819110787078,0,0,0,0,0,1
229.17846261694348,0,0,0,0,0,1
232.5487341260162,0,0,0,0,0,1
235.9190056350889,0,0,0,0,0,1
239.28927714416156,0,0,0,0,0,1
242.65954865323428,0,0,0,0,0,1
246.02982016230698,0,0,0,0,0,1
249.40009167137967,0,0,0,0,0,1
252.7703631804524,0,0,0,0,0,1
256.14063468952503,0,0,0,0,0,1
259.51090619859775,0,0,0,0,0,1
262.8811777076705,0,0,0,0,0,1
266.2514492167432,0,0,0,0,0,1
269.62172072581586,0,0,0,0,0,1
272.9919922348885,0,0,0,0,0,1
276.36226374396125,0,0,0,0,0,1
279.732535253034,0,0,0,0,0,1
283.1028067621067,0,0,0,0,0,1
286.47307827117936,0,0,0,0,0,1
289.843349780252,0,0,0,0,0,1
293.21362128932475,0,0,0,0,0.02388198070891113,1
296.58389279839747,0,0,0,0,0.02915008941135688,1
299.95416430747014,0,0,0,0,0.037295612288431,1
303.32443581654286,0,0,0,0,0.04656753750244393,1
306.6947073256155,0,0,0,0,0.050928402259432105,1
310.06497883468825,0,0,0,0,0.05402044604710762,1
313.43525034376097,0,0,0,0,0.0549028664221703,1
316.80552185283364,0,0,0,0,0.05545279671213314,1
320.17579336190636,0,0,0,0,0.05188690784744224,1
323.546064870979,0,0,0,0,0.04189712550053124,1
326.91633638005175,0,0,0,0,0.031109000055361255,1
330.2866078891244,0,0,0,0,0.023023232123804045,1
333.65687939819713,0,0,0,0,0,1
337.02715090726986,0,0,0,0,0,1
340.3974224163425,0,0,0,0,0,1
343.76769392541524,0,0,0,0,0,1
347.1379654344879,0,0,0,0,0,1
350.50823694356063,0,0,0,0,0,1
353.87850845263335,0,0,0,0,0,1
357.248779961706,0,0,0,0,0,1
360.61905147077874,0,0,0,0,0,1
