"",3Hz,6Hz,143Hz,20Hz,65Hz,Noise,478Hz,185Hz
0.0,0.5131067831897164,0,0,0,0,1,0,0
3.3702715090726985,1.0,0.7172449664226235,0,0,0,1,0,0
6.740543018145397,0.242039207116487,1.0,0,0,0,1,0,0
10.110814527218094,0,0.6311738719961125,0,0,0,1,0,0
13.481086036290794,0,0.14812343460196206,0,0,0,1,0,0
16.85135754536349,0,0,0,0.6628547590930313,0,1,0,0
20.22162905443619,0,0,0,0.93779158406479,0,1,0,0
23.591900563508887,0,0,0,0.455908829921629,0,1,0,0
26.962172072581588,0,0,0,0.11479953258362566,0,1,0,0
30.332443581654285,0,0,0,0,0.012556285121941207,1,0,0
33.70271509072698,0,0,0,0,0.014899137424441381,1,0,0
37.072986599799684,0,0,0,0,0.019993335195127675,1,0,0
40.44325810887238,0,0,0,0,0.02459291757447136,1,0,0
43.81352961794508,0,0,0,0,0.03245185137714591,1,0,0
47.18380112701777,0,0,0,0,0.03719556188538575,1,0,0
50.554072636090474,0,0,0,0,0.04613439922989792,1,0,0
53.924344145163175,0,0,0,0,0.07067359149975909,1,0,0
57.29461565423587,0,0,0,0,0.11266439045213113,1,0,0
60.66488716330857,0,0,0,0,0.22748105985684436,1,0,0
64.03515867238126,0,0,0,0,0.6221066802319359,1,0,0
67.40543018145397,0,0,0,0,1.0,1,0,0
70.77570169052667,0,0,0,0,0.6310117151214961,1,0,0
74.14597319959937,0,0,0,0,0.2507822449244838,1,0,0
77.51624470867206,0,0,0,0,0.13343062761162086,1,0,0
80.88651621774476,0,0,0,0,0.08543954061979081,1,0,0
84.25678772681746,0,0,0,0,0.061600198611628056,1,0,0
87.62705923589016,0,0,0,0,0.047592476439717604,1,0,0
90.99733074496285,0,0,0,0,0.039994835323955535,1,0,0
94.36760225403555,0,0,0,0,0.03427228085054431,1,0,0
97.73787376310825,0,0,0,0,0.028989151711520944,1,0,0
101.10814527218095,0,0,0,0,0.02514687805051288,1,0.0,0
104.47841678125364,0,0,0,0,0.021467922427991674,1,0.012686787615338388,0
107.84868829032635,0,0,0,0,0.018376266940247597,1,0.39274213062765884,0
111.21895979939906,0,0,0,0,0.015239447538307332,1,0.24161209935490727,0
114.58923130847174,0,0,0,0,0.01367340126997338,1,0.0,0
117.95950281754445,0,0,0,0,0.012223007484987529,1,0.0,0
121.32977432661714,0,0,0,0,0.010531981950977489,1,0.0,0
124.70004583568983,0,0,0,0,0.009683879992489425,1,0.0,0
128.07031734476251,0,0,0,0,0.009258884901393795,1,0.0,0
131.44058885383524,0,0,0,0,0.009233870115933017,1,0.0,0
134.81086036290793,0,0,0,0,0.00935363172814674,1,0.0,0
138.18113187198063,0,0,0,0,0.009492680296071896,1,0.0,0
141.55140338105335,0,0,0,0,0.010386632331174232,1,0.0,0
144.921674890126,0,0,0.1548510279819589,0,0,1,0.0,0
148.29194639919874,0,0,1.0,0,0,1,0.0,0
151.66221790827143,0,0,0.9950690511617172,0,0,1,0.0,0
155.03248941734412,0,0,0.14778744146093145,0,0,1,0.0,0
158.40276092641682,0,0,0,0,0,1,0.0,0.01838966979503525
161.7730324354895,0,0,0,0,0,1,0.0,0.02174023421065432
165.1433039445622,0,0,0,0,0,1,0.0,0.025011862415830536
168.51357545363493,0,0,0,0,0,1,0.0,0.028932895893778825
171.88384696270762,0,0,0,0,0,1,0.0,0.03309547321880737
175.25411847178032,0,0,0,0,0,1,0.0,0.03965580236053704
178.624389980853,0,0,0,0,0,1,0.0,0.049022356734756356
181.9946614899257,0,0,0,0,0,1,0.0,0.06650820010335404
185.36493299899843,0,0,0,0,0,1,0.0,0.09921776916679233
188.7352045080711,0,0,0,0,0,1,0.0,0.15491999191930286
192.10547601714381,0,0,0,0,0,1,0.0,0.18249754678459504
195.4757475262165,0,0,0,0,0,1,0.0,0.18015857316168393
198.8460190352892,0,0,0,0,0,1,0.0,0.15388390395978005
