,component_0,component_1,component_2,component_3,component_4,component_5,component_6,component_7
0.0,0.5424976028270894,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.6709401709401925,1.0,0.4634623989360617,0.0,0.0,0.0,0.0,0.0,0.0
5.341880341880385,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8.012820512820577,0.0,0.46237884502642984,0.0,0.0,0.0,0.0,0.0,0.0
10.68376068376077,0.0,0.12910428251606196,0.7769126553159511,0.0,0.0,0.0,0.0,0.0
13.354700854700964,0.0,0.0,0.9648040815590754,0.0,0.0,0.0,0.0,0.0
16.025641025641153,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18.69658119658135,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21.36752136752154,0.0,0.0,0.0,0.928636571581153,0.0,0.0,0.0,0.0
24.038461538461732,0.0,0.0,0.0,0.6143264824889798,0.0,0.0,0.3904085815236022,0.0
26.709401709401927,0.0,0.0,0.0,0.341351636122285,0.0,0.0,0.6095280158585429,0.0
29.380341880342122,0.0,0.0,0.0,0.21080099940853703,0.0,0.0,0.6344024569510113,0.0
32.05128205128231,0.0,0.0,0.0,0.0,0.0,0.0,0.9270721772716805,0.0
34.722222222222506,0.0,0.0,0.0,0.0,0.0,0.0,0.9363353139284214,0.0
37.3931623931627,0.0,0.0,0.0,0.0,0.0,0.0,0.9824965021309466,0.0
40.06410256410289,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42.73504273504308,0.0,0.0,0.0,0.0,0.0,0.0,0.9807184135590091,0.0
45.40598290598327,0.0,0.0,0.0,0.0,0.0,0.0,0.9398957424633099,0.0
48.076923076923464,0.0,0.0,0.0,0.0,0.0,0.0,0.9024856535816095,0.0
50.74786324786366,0.0,0.0,0.0,0.0,0.036767546736070356,0.0,0.7842897191810341,0.0
53.418803418803854,0.0,0.0,0.0,0.0,0.057392538621203734,0.0,0.7371103603637295,0.0
56.089743589744046,0.0,0.0,0.0,0.0,0.08158449616008902,0.0,0.6787169177170257,0.0
58.760683760684245,0.0,0.0,0.0,0.0,0.12288375314382878,0.0,0.6627007710024254,0.0
61.43162393162443,0.0,0.0,0.0,0.0,0.22839059259842617,0.0,0.6476399499503407,0.0
64.10256410256461,0.0,0.0,0.0,0.0,0.568198552440663,0.0,0.47393911265907307,0.0
66.77350427350481,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
69.44444444444501,0.0,0.0,0.0,0.0,0.7894950304695545,0.0,0.0,0.42461736525035115
72.1153846153852,0.0,0.0,0.0,0.0,0.3303493939993959,0.0,0.0,0.9840715915456694
74.7863247863254,0.0,0.0,0.0,0.0,0.1519687199165574,0.0,0.0,1.0
