"",3Hz,6Hz,13Hz,21Hz,66Hz,150Hz,LF_Noise,HF_Noise
0.0,1,0,0,0,0,0,0,0
2.6709401709401925,1,1,0,0,0,0,0,0
5.341880341880385,0,1,0,0,0,0,0,0
8.012820512820577,0,1,0,0,0,0,0,0
10.68376068376077,0,1,1,0,0,0,0,0
13.354700854700964,0,0,1,0,0,0,0,0
16.025641025641153,0,0,1,0,0,0,0,0
18.69658119658135,0,0,0,1,0,0,0,0
21.36752136752154,0,0,0,1,0,0,0,0
24.038461538461732,0,0,0,1,0,0,1,0
26.709401709401927,0,0,0,1,0,0,1,0
29.380341880342122,0,0,0,1,0,0,1,0
32.05128205128231,0,0,0,0,0,0,1,0
34.722222222222506,0,0,0,0,0,0,1,0
37.3931623931627,0,0,0,0,0,0,1,0
40.06410256410289,0,0,0,0,0,0,1,0
42.73504273504308,0,0,0,0,0,0,1,0
45.40598290598327,0,0,0,0,0,0,1,0
48.076923076923464,0,0,0,0,0,0,1,0
50.74786324786366,0,0,0,0,1,0,1,0
53.418803418803854,0,0,0,0,1,0,1,0
56.089743589744046,0,0,0,0,1,0,1,0
58.760683760684245,0,0,0,0,1,0,1,0
61.43162393162443,0,0,0,0,1,0,1,0
64.10256410256461,0,0,0,0,1,0,1,0
66.77350427350481,0,0,0,0,1,0,0,0
69.44444444444501,0,0,0,0,1,0,0,1
72.1153846153852,0,0,0,0,1,0,0,1
74.7863247863254,0,0,0,0,1,0,0,1
77.4572649572656,0,0,0,0,1,0,0,1
80.12820512820578,0,0,0,0,1,0,0,1
82.79914529914596,0,0,0,0,1,0,0,1
85.47008547008616,0,0,0,0,0,0,0,1
88.14102564102636,0,0,0,0,0,0,0,1
90.81196581196654,0,0,0,0,0,0,0,1
93.48290598290674,0,0,0,0,0,0,0,1
96.15384615384693,0,0,0,0,0,0,0,1
98.82478632478713,0,0,0,0,0,0,0,1
101.49572649572733,0,0,0,0,0,0,0,1
104.16666666666751,0,0,0,0,0,0,0,1
106.83760683760771,0,0,0,0,0,0,0,1
109.50854700854791,0,0,0,0,0,0,0,1
112.17948717948809,0,0,0,0,0,0,0,1
114.85042735042829,0,0,0,0,0,0,0,1
117.52136752136849,0,0,0,0,0,0,0,1
120.19230769230867,0,0,0,0,0,0,0,1
122.86324786324886,0,0,0,0,0,0,0,1
125.53418803418904,0,0,0,0,0,0,0,1
128.20512820512923,0,0,0,0,0,0,0,1
130.87606837606944,0,0,0,0,0,0,0,1
133.54700854700963,0,0,0,0,0,0,0,1
136.2179487179498,0,0,0,0,0,0,0,1
138.88888888889002,0,0,0,0,0,0,0,1
141.5598290598302,0,0,0,0,0,0,0,1
144.2307692307704,0,0,0,0,0,0,0,1
146.9017094017106,0,0,0,0,0,1,0,1
149.5726495726508,0,0,0,0,0,1,0,1
152.24358974359097,0,0,0,0,0,1,0,1
154.9145299145312,0,0,0,0,0,0,0,1
157.58547008547137,0,0,0,0,0,0,0,1
160.25641025641156,0,0,0,0,0,0,0,1
162.92735042735177,0,0,0,0,0,0,0,1
165.59829059829192,0,0,0,0,0,0,0,1
168.26923076923214,0,0,0,0,0,0,0,1
170.94017094017232,0,0,0,0,0,0,0,1
173.6111111111125,0,0,0,0,0,0,0,1
176.28205128205272,0,0,0,0,0,0,0,1
178.9529914529929,0,0,0,0,0,0,0,1
181.6239316239331,0,0,0,0,1,0,0,1
184.2948717948733,0,0,0,0,1,0,0,1
