,Circuit Family,Circuit Name,timestamp_fgc,Position,sec_quench_number,dstd_score
1720,RB,RB.A56,1.62237607618e+18,B14R5,2,6.457228305874026
1502,RB,RB.A12,1.62178168396e+18,B28L2,1,3.7816707051443244
772,RB,RB.A34,1.61959158688e+18,A15R3,3,3.7149142167511147
375,RB,RB.A34,1.61837857228e+18,C32L4,2,3.521532186158472
771,RB,RB.A34,1.61959158688e+18,B17R3,2,3.3975211738084816
376,RB,RB.A34,1.61837857228e+18,A33L4,3,3.193995689082005
2549,RB,RB.A81,1.62921374652e+18,B17L1,0,3.043612112211186
1311,RB,RB.A45,1.62123043182e+18,B29L5,1,2.547877507860794
1984,RB,RB.A56,1.62425281948e+18,A8L6,3,2.298710227260607
2444,RB,RB.A67,1.62862421102e+18,A34R6,1,2.0700963384397895
750,RB,RB.A34,1.61955333928e+18,A29L4,1,2.0118265603304013
2392,RB,RB.A81,1.62835793616e+18,C34R8,3,1.9407341414609243
1889,RB,RB.A56,1.62343277528e+18,B8R5,2,1.9259028774576703
1851,RB,RB.A12,1.6228761689e+18,C21R1,1,1.9141275286480832
1481,RB,RB.A12,1.62175033342e+18,A13R1,0,1.9111031466403676
874,RB,RB.A12,1.61989761654e+18,C28L2,1,1.8924642511462852
397,RB,RB.A78,1.61846389218e+18,B14L8,1,1.8619610525414185
2633,RB,RB.A67,1.62982224942e+18,A24L7,1,1.8404785055014903
477,RB,RB.A78,1.61872313086e+18,C12L8,3,1.8361508976644232
424,RB,RB.A78,1.6185503975e+18,C16L8,0,1.8221839961591313
1718,RB,RB.A56,1.62237607618e+18,C14R5,0,1.8207675161449604
1692,RB,RB.A12,1.6223076562e+18,A21L2,1,1.8078247545369777
1478,RB,RB.A56,1.6217479771e+18,C21L6,1,1.7943806781422003
1594,RB,RB.A23,1.62196963518e+18,A23R2,1,1.7931622891684758
503,RB,RB.A78,1.6187811107e+18,C22L8,2,1.7692692283358085
2765,RB,RB.A78,1.63656954476e+18,C25L8,1,1.7344747920328378
1104,RB,RB.A12,1.62071726414e+18,C22R1,1,1.683041838507816
687,RB,RB.A12,1.61937454108e+18,A27L2,1,1.669643705255668
100,RB,RB.A78,1.6169621744e+18,C28L8,0,1.6663352521320958
354,RB,RB.A78,1.61824728402e+18,B19L8,1,1.6626503840531939
1049,RB,RB.A12,1.62054776732e+18,A25R1,0,1.6581809308125535
2468,RB,RB.A67,1.62874502474e+18,A24L7,0,1.6559116163669922
1936,RB,RB.A56,1.62382344984e+18,A30R5,1,1.6504765020410135
1696,RB,RB.A12,1.6223076562e+18,A22L2,5,1.645765775079163
536,RB,RB.A78,1.61889829676e+18,A22R7,1,1.6246268604642506
403,RB,RB.A34,1.61846631782e+18,A29L4,1,1.6231016230410236
