,Circuit Family,Circuit Name,timestamp_fgc,Position,sec_quench_number,min_time,max_time,min_amplitude,max_amplitude,dstd_max,dU_max,dU_min,dstd_mean,dstd_score_pos_15,dstd_score_elpos_15,dstd_score_pos_15_exp,dstd_score_elpos_15_exp,dstd_score_pos_15_tuk,dstd_score_elpos_15_tuk,wiggle_area_pos,wiggle_area_elpos
3,RB,RB.A78,1.61521074742e+18,B18R7,0.0,0.09700000000000131,1.899000000000001,0.025659899962575672,0.024825002017774267,0.02982001347900692,0.05875110626220703,-0.07059574127197266,0.016640283299945165,1.0619193186399347,1.0180144149791723,1.160115423388643,1.0433352865380863,1.0801060223931407,1.0299688880842979,17.0,14.0
4,RB,RB.A78,1.61521074742e+18,A18R7,1.0,0.10299999999999443,1.9009999999999962,0.019466747511301286,0.027084716897926242,0.017587783409339773,0.04074668884277344,-0.05875110626220703,0.008910339276181957,0.8415745209303663,0.9286812890231445,0.8825013147324257,0.9983500947796925,0.8631526710642871,0.9512215566833978,8.0,9.0
5,RB,RB.A78,1.61521074742e+18,A19R7,2.0,0.09599999999998943,1.8989999999999867,0.025648695627848106,0.027325661977132043,0.020312885639709587,0.04074668884277344,-0.07012271881103516,0.015272543319682605,0.9553523768342277,1.0557210955411012,0.9745074165704068,1.0784694242885549,0.9485026205757734,1.0839809847538382,9.0,10.0
7,RB,RB.A78,1.6152719737e+18,B30R7,0.0,0.0,1.899000000000001,0.027081288789448266,0.026040704626786315,0.0252501688986779,0.05969810485839844,-0.045485496520996094,0.006020734323468606,0.9412222841721898,0.8557911209891705,1.132558208837977,0.8803981396581373,0.9876847893802723,0.9066103960814001,8.0,6.0
8,RB,RB.A78,1.6152719737e+18,A30R7,1.0,0.09900000000000375,1.902000000000001,0.018559879025086268,0.023021710629494763,0.020549510377961395,0.04169464111328125,-0.053066253662109375,0.013603611413592901,0.9939489624509955,1.0078131266584853,1.007206604287448,1.0061124685851708,0.995944003228631,1.0186775625868802,8.0,13.0
9,RB,RB.A78,1.6152719737e+18,A31R7,2.0,0.10099999999999909,1.8979999999999961,0.02006748199462871,0.023908170064290246,0.019154484023270097,0.031744956970214844,-0.05875110626220703,0.014087353826076536,0.9851731281839601,0.9838857837082736,1.026546400572529,0.9458168597285239,0.9978631315812722,0.9702393537470648,11.0,8.0
11,RB,RB.A78,1.61530866352e+18,B16L8,0.0,0.10099999999999909,1.8999999999999986,0.032156210196645496,0.02888304308841061,0.02201437496557451,0.05022239685058594,-0.07580757141113281,0.015176090901152116,1.0032153354100195,1.1628105864437175,0.9651011516924177,1.0503562145776741,1.0366829872070296,1.1384149358694302,8.0,10.0
12,RB,RB.A78,1.61530866352e+18,C16L8,1.0,0.09499999999999886,1.8979999999999961,0.025325187784157155,0.021847863860477545,0.02096056963366089,0.03458690643310547,-0.07343864440917969,0.014785714741005047,1.0359951047218503,0.9273469396442011,1.1471188950257534,1.0809346978572882,1.0413427831364206,0.985753577787712,10.0,10.0
14,RB,RB.A78,1.61536340226e+18,A26L8,0.0,0.0,1.8969999999999985,0.04244451964927798,0.02551587212164641,0.03279044549758433,0.05922508239746094,-0.09807682037353516,0.016941260182787167,1.0099211570331015,1.1567020901646103,0.9172152119900503,1.1482486381391397,1.0174589909328131,1.197058740074545,8.0,44.0
15,RB,RB.A78,1.61536340226e+18,C26L8,1.0,0.0,1.9029999999999987,0.03561045160356713,0.025685184049290655,0.025301195574805722,0.05922508239746094,-0.044063568115234375,0.0062573914899313465,1.2465959642340845,0.9046615958600435,1.1897816948624051,0.6812132756238969,1.2607227473223699,0.934454127552341,20.0,22.0
16,RB,RB.A78,1.61536340226e+18,A27L8,2.0,0.5,1.600999999999999,0.01671841303507482,0.026649977366129562,0.012149889226353478,0.027006149291992188,-0.02605915069580078,0.002712410977083558,1.246323212997321,0.9129611598639396,0.8151191680966783,0.7194039752698258,1.1709729538522298,0.9072902695520005,13.0,9.0
18,RB,RB.A78,1.61539422134e+18,A31R7,0.0,0.10300000000000153,1.8999999999999986,0.03862436194168861,0.02486236471878822,0.029320428209923755,0.058277130126953125,-0.09618186950683594,0.016585265758049028,1.1084225362541686,0.8313418397723978,1.2388398494959145,0.8172862031710242,1.131532618107311,0.8561278987451657,16.0,6.0
19,RB,RB.A78,1.61539422134e+18,C31R7,1.0,0.19500000000000028,1.8969999999999985,0.055719861921096125,0.024323779226138598,0.030869476743117994,0.0554351806640625,-0.0838623046875,0.016842748825881403,0.9417748606573064,0.9434056312835528,0.87944154818205,0.7929246924506662,0.9509294466564634,0.917963877567727,8.0,10.0
20,RB,RB.A78,1.61539422134e+18,C30R7,2.0,0.29999999999998295,1.8959999999999866,0.017792981465657443,0.02054443359374991,0.01354209112334905,0.0279541015625,-0.0279541015625,0.008587260139202498,0.9774086850182965,0.993847854555781,1.0211675218393725,1.0774698367540345,0.979904946804634,1.0110517814327662,10.0,11.0
22,RB,RB.A78,1.6154439887e+18,B27L8,0.0,0.0,1.9000000000000057,0.033888998784516566,0.024098433946308617,0.020388216523555065,0.050223350524902344,-0.03648185729980469,0.006103311001288715,1.223796190976705,1.0474161201525476,1.2376577277674783,1.0305121230546794,1.1410380682218555,1.0113195122015766,22.0,9.0
23,RB,RB.A78,1.6154439887e+18,C26L8,1.0,0.10099999999999909,1.9000000000000057,0.022048741776422354,0.027417189238087225,0.017735965110476575,0.04832744598388672,-0.06254196166992188,0.010541186290396755,1.0121707274046847,0.9508513279284655,1.0417712804630417,0.9626472519330764,0.9988299641161497,0.9652152223831238,9.0,8.0
24,RB,RB.A78,1.6154439887e+18,B26L8,2.0,0.10500000000000398,1.899000000000001,0.02492813746134459,0.023623797098795585,0.01883071288484987,0.036482810974121094,-0.06775283813476562,0.013573200579224324,0.990368354496665,0.9666511720694418,0.9779197518941649,0.9754265416514202,0.9791659387071554,0.9628323403021034,29.0,9.0
25,RB,RB.A78,1.6154439887e+18,C27L8,3.0,0.19599999999999795,1.9000000000000057,0.017664339718402644,0.02719074607695493,0.014924723729103324,0.03269195556640625,-0.044063568115234375,0.01077141042689859,1.0702198800933276,1.0375378960223314,1.0788662936545832,1.028640881829794,1.0646803608195874,1.031278900562034,24.0,22.0
26,RB,RB.A78,1.6154439887e+18,A26L8,4.0,0.20299999999997453,1.8999999999999773,0.017946900548161615,0.02668932321909301,0.018950518573483024,0.030323028564453125,-0.06396293640136719,0.010375740349374154,1.0395460609864149,1.007901495492516,1.0161132209923962,0.9887788316058154,1.0218180975604136,1.0070043899675594,21.0,33.0
28,RB,RB.A78,1.6154816296e+18,A22R7,0.0,0.4019999999999939,1.9009999999999962,0.0403921083109271,0.025952225489332292,0.03056908247378468,0.06159400939941406,-0.07343912124633789,0.017441958090669334,1.0282973456881466,1.107692558145495,0.9589354515790226,1.0467682043719277,0.9865120277779512,1.1316979513835395,14.0,21.0
29,RB,RB.A78,1.6154816296e+18,C22R7,1.0,0.09599999999999653,1.7950000000000017,0.0403921083109271,0.02790092948256717,0.029315325479488882,0.06159400939941406,-0.07343912124633789,0.01642570136745416,1.0359054082614776,1.0840448902402458,0.9812726125390853,1.0688636857302822,1.034748733929175,1.1295752149291183,15.0,17.0
30,RB,RB.A78,1.6154816296e+18,A23R7,2.0,0.3019999999999925,1.9019999999999868,0.016447213490804025,0.021099853515625044,0.015802444648868416,0.0279541015625,-0.05211830139160156,0.009347233766196793,1.018113048148803,0.9877442088167285,1.0283025658324239,0.9232762398870945,1.0624159940324625,0.9775430840028047,13.0,9.0
32,RB,RB.A78,1.61552934458e+18,B30L8,0.0,0.0,1.8980000000000032,0.04133870099720216,0.025210920133088344,0.019542217278214858,0.05448722839355469,-0.039798736572265625,0.00525476914548641,1.0446235567603523,0.9602979149875309,1.405154378403161,0.8687020150119461,1.0651229699021083,0.952717351921998,13.0,6.0
33,RB,RB.A78,1.61552934458e+18,C29L8,1.0,0.09999999999999432,1.7950000000000017,0.030034513662982043,0.022748391359846742,0.020027631608438852,0.04074668884277344,-0.054961204528808594,0.013423227867057722,1.0027440382378767,0.9810336135491704,1.005275117341881,1.0551587728802092,1.0137585639169304,1.0023333177214526,14.0,9.0
34,RB,RB.A78,1.61552934458e+18,C30L8,2.0,0.09999999999999432,1.7959999999999923,0.027097943623860754,0.021876602172851367,0.016916236920447802,0.03221893310546875,-0.053539276123046875,0.011615263000644799,0.9726193970467683,0.9875591766624979,0.9501168322517728,0.9866595041500021,0.9516352518995372,1.0017123556299818,14.0,7.0
36,RB,RB.A78,1.6155660652e+18,B34R7,0.0,0.10200000000000387,1.9010000000000034,0.040010866365935094,0.024039569653962367,0.020699416214727092,0.05259132385253906,-0.03837776184082031,0.0059888799828829165,0.9379346620902732,0.9429382903896814,0.9623809344222802,1.1356277435410658,0.926167130509721,0.9280493127363437,8.0,8.0
37,RB,RB.A78,1.6155660652e+18,C34L8,1.0,0.20400000000000773,1.899000000000001,0.02172509511311871,0.02228420893351224,0.023076210521174537,0.036956787109375,-0.07343864440917969,0.019099908288430216,0.9766708930103204,0.9781962107613134,1.0025586826442683,0.9953755542550903,0.9802101716467458,0.9894485101640846,10.0,10.0
38,RB,RB.A78,1.6155660652e+18,A34L8,2.0,0.0,1.899000000000001,0.02172509511311871,0.02701969782511382,0.013321790048896642,0.036956787109375,-0.02037334442138672,0.005646777166786368,0.8943373855729511,0.8860525354497534,0.9098595660522948,0.8371084126419032,0.9431110414762591,0.851154457198386,10.0,10.0
39,RB,RB.A78,1.6155660652e+18,A34R7,3.0,0.09600000000000364,1.6970000000000027,0.018639948544086238,0.02170868047931851,0.016001201880300412,0.03174400329589844,-0.04358959197998047,0.011525825413594249,0.9841591638084015,0.9776728326473298,1.004467143464779,0.9520997351817501,0.9951181406997232,0.9569864160677527,12.0,15.0
41,RB,RB.A78,1.61562238908e+18,B19L8,0.0,0.601,0.0,0.2694485752206095,0.37494723420394094,1.6644201888206704,0.22931957244873047,-5.394213676452637,1.5927072494112655,1.002926457715448,0.9852688985110644,0.9981872625747558,0.971585877585528,0.9983759530581456,0.9851591060162049,8.0,6.0
42,RB,RB.A78,1.61562238908e+18,A19L8,1.0,0.0,1.9039999999999964,0.0700598710420115,0.02518987339853407,0.02937513867984806,0.08102035522460938,-0.044536590576171875,0.007328167126093554,0.949758158819258,1.05279191324131,1.0671743651621444,1.3206553578429368,0.9690297551750003,1.166584129951113,9.0,13.0
43,RB,RB.A78,1.61562238908e+18,B13R7,2.0,0.0,1.899000000000001,0.02640965143839491,0.026851488749186636,0.019370655015466386,0.05401325225830078,-0.03979969024658203,0.004586233474192133,0.6486870892392158,0.8763739011222867,1.1862460531674868,0.8801274060694305,0.7627324061435067,0.9198314019682665,7.0,16.0
44,RB,RB.A78,1.61562238908e+18,C19L8,3.0,0.10200000000000387,1.899000000000001,0.036428598749557395,0.16900060640885517,0.025124480493523067,0.07249164581298828,-0.08670616149902344,0.016650296718168475,1.0397114910518155,0.951774896998406,1.0751199432731584,1.0355512178029034,1.0464873713650809,0.9957040690259896,16.0,16.0
45,RB,RB.A78,1.61562238908e+18,C13R7,4.0,0.0,1.9039999999999964,0.028811673860292153,0.027134727787327506,0.017437334620867658,0.04453754425048828,-0.030323028564453125,0.0044336694930150605,0.7465125101124442,0.7112485480468215,0.8928549704168179,0.6860859876422712,0.7629256635020409,0.725686153269953,8.0,8.0
46,RB,RB.A78,1.61562238908e+18,C18L8,5.0,0.09999999999999432,1.8979999999999961,0.018149628931162454,0.02743874115197853,0.017673476007765625,0.02937602996826172,-0.06680583953857422,0.01335544864341065,1.033605326628913,0.9540753687875915,1.059754281923835,0.9570478881821451,1.051362653996643,0.968311506588214,10.0,7.0
47,RB,RB.A78,1.61562238908e+18,C12R7,6.0,0.30400000000000205,1.9010000000000105,0.016891335787838413,0.020804535852719575,0.014110325411378234,0.028428077697753906,-0.03885078430175781,0.008245280446731573,0.9348246700869213,0.994544782871487,0.8966314215169414,1.0159508541369087,0.9211707082926843,0.9667700952980942,9.0,7.0
49,RB,RB.A78,1.61565760048e+18,B23R7,0.0,0.10199999999999676,0.6039999999999992,0.02863065819991295,0.22826857943283851,0.07219850491327204,0.23784732818603516,-0.12271404266357422,0.017283258182373147,1.306893072620904,1.135890308199551,2.4921245863259442,1.285155595646556,1.4289866582506063,1.1445615956462918,10.0,12.0
50,RB,RB.A78,1.61565760048e+18,C22R7,1.0,0.1010000000000133,1.9000000000000057,0.031229783367637154,0.023313092869639007,0.02659243525082116,0.042168617248535156,-0.08812618255615234,0.014351258188956578,0.9969896166104082,1.077029785951881,1.0961568382098372,1.0693361665486711,0.9930778858459218,1.1135603194455652,11.0,11.0
51,RB,RB.A78,1.61565760048e+18,C23R7,2.0,0.10099999999999909,1.7980000000000018,0.020124003092448106,0.022448438008626503,0.01903628035535679,0.03553485870361328,-0.05875110626220703,0.01478175421365142,1.0088593492000586,1.005946905629827,1.0392813988545027,0.9979248527690832,1.0235708679504238,1.0117932632652995,21.0,36.0
52,RB,RB.A78,1.61565760048e+18,B22R7,3.0,0.20199999999999818,1.9000000000000057,0.014258506314066555,0.026822058146431793,0.02092067049690695,0.030323028564453125,-0.07343864440917969,0.012671418049512816,1.0082605179255761,0.9998663536847692,1.0021125220082,0.9801611353289418,0.9988332312892129,0.9783680228611276,36.0,13.0
54,RB,RB.A78,1.6157091362e+18,C28R7,0.0,0.10000000000000142,1.9009999999999998,0.04222686039774004,0.02622113102360757,0.03610426353241025,0.0653848648071289,-0.10944747924804688,0.015070684203693431,0.8635525822496833,0.9255672936821492,0.8060858943686662,0.881618925475938,0.8681596178795109,0.918782866776483,7.0,15.0
55,RB,RB.A78,1.6157091362e+18,A28R7,1.0,0.10099999999999909,1.9050000000000011,0.03566710364739656,0.02674935195619721,0.02446774767744467,0.05733013153076172,-0.04738044738769531,0.010110859586514517,1.1173676032225763,1.077643668961048,1.0891513219015976,1.0863201229219168,1.0713777280290477,1.0655319747236804,18.0,14.0
