,Unnamed: 0,n_components,beta_loss,f_window,cosine_dist,corrcoef,cophcorr_esim
0,0,2.0,frobenius,ones,0.0674875938508588,0.6117125072774667,
1,1,2.0,frobenius,hanning,0.0956058627879991,0.6221096530207497,
2,2,2.0,frobenius,bartlett,0.0795116085029553,0.6225137342139928,
3,3,2.0,frobenius,blackman,0.0932834280212676,0.6203598777451755,
4,4,2.0,frobenius,flattop,0.0984631908354024,0.6132991771703631,
5,5,2.0,frobenius,hamming,0.0814149615857803,0.621998248673687,
6,6,2.0,frobenius,tukey,0.073850921719032,0.6273747646147516,
7,7,3.0,frobenius,ones,0.1548706666106907,0.5452526535442148,0.955834652983424
8,8,3.0,frobenius,hanning,0.1854095016094179,0.5034878047376279,0.6133977377861516
9,9,3.0,frobenius,bartlett,0.1933422930198694,0.5003314494919398,0.5975041952450245
10,10,3.0,frobenius,blackman,0.1962496627176587,0.5047985629007433,0.6977348676793075
11,11,3.0,frobenius,flattop,0.1933246392759368,0.4971090446972402,0.8472332475151282
12,12,3.0,frobenius,hamming,0.1789370896770052,0.5027871703882648,0.5857828404994886
13,13,3.0,frobenius,tukey,0.202393851694031,0.4963008812185122,0.7699337605425564
14,14,4.0,frobenius,ones,0.180946836909985,0.4849360085300397,0.814013834838988
15,15,4.0,frobenius,hanning,0.2753965357888501,0.4438849469746926,0.8703738538848149
16,16,4.0,frobenius,bartlett,0.2728669613422598,0.4390333499095306,0.8336737310560766
17,17,4.0,frobenius,blackman,0.2501119008467113,0.4442027499945203,0.9212547194429392
18,18,4.0,frobenius,flattop,0.2162695209644182,0.4348243747513102,0.9461672215223416
19,19,4.0,frobenius,hamming,0.2604394672015492,0.4424526943232661,0.8248428788097526
20,20,4.0,frobenius,tukey,0.2689308794668239,0.4363759160205398,0.7061043744282589
21,21,5.0,frobenius,ones,0.193005390146277,0.4781035847124981,0.8420392451498298
22,22,5.0,frobenius,hanning,0.3122250549021168,0.4272913437329839,0.8218891199313599
23,23,5.0,frobenius,bartlett,0.3104144735824101,0.4011567545299027,0.9251410355514652
24,24,5.0,frobenius,blackman,0.2777130279720108,0.422406122730835,0.7915100304812536
25,25,5.0,frobenius,flattop,0.2820478615779391,0.432469184965518,0.8475139622002108
26,26,5.0,frobenius,hamming,0.3018513385067056,0.4040192089753745,0.9210670514625744
27,27,5.0,frobenius,tukey,0.2973771232328071,0.4176462715739626,0.8997253859574041
28,28,6.0,frobenius,ones,0.2431504777546433,0.445443650433811,0.6991776419922369
29,29,6.0,frobenius,hanning,0.3761084555696543,0.3862126145354833,0.8358190215853887
30,30,6.0,frobenius,bartlett,0.3300021841098959,0.402780209358708,0.6324808466966035
31,31,6.0,frobenius,blackman,0.3593679826004262,0.3849520641220669,0.8081842343698172
32,32,6.0,frobenius,flattop,0.3049470008141631,0.3985646024118897,0.8634124594730264
33,33,6.0,frobenius,hamming,0.3448564135800315,0.4039040952972997,0.6415868888697904
34,34,6.0,frobenius,tukey,0.2789857575096011,0.4202067508412836,0.6883920883300874
35,35,7.0,frobenius,ones,0.2315907200062397,0.448638321265664,0.7205013964183766
36,36,7.0,frobenius,hanning,0.3738566410945064,0.3581133602721342,0.8700609894688122
37,37,7.0,frobenius,bartlett,0.3327427922571836,0.3818596288404535,0.6618918443131151
38,38,7.0,frobenius,blackman,0.4072499738278489,0.3576407653747943,0.8329376812259752
39,39,7.0,frobenius,flattop,0.3345707902654292,0.373452514634035,0.8901890786866071
40,40,7.0,frobenius,hamming,0.3382050006353329,0.3817664507209202,0.6751159408076134
41,41,7.0,frobenius,tukey,0.3275355201834919,0.4296023207733866,0.5888316989484685
42,42,8.0,frobenius,ones,0.2675158582868883,0.4324405548257236,0.6791397671887077
43,43,8.0,frobenius,hanning,0.3907504765852653,0.3554253145982036,0.9005556033389378
44,44,8.0,frobenius,bartlett,0.3336087684633433,0.3858829072743125,0.6626078689637548
45,45,8.0,frobenius,blackman,0.357570245788127,0.3359279697202203,0.9075439269918112
46,46,8.0,frobenius,flattop,0.3441317468956688,0.3593917343406471,0.9299945506130168
47,47,8.0,frobenius,hamming,0.3409365938056205,0.3574471431174237,0.7280442032577241
48,48,8.0,frobenius,tukey,0.3412148428593138,0.4070551276031959,0.7028163370817571
49,49,9.0,frobenius,ones,0.2901614085544182,0.4152929199459368,0.7284714363210926
50,50,9.0,frobenius,hanning,0.3802385735859391,0.3476324222177943,0.9287835995956444
51,51,9.0,frobenius,bartlett,0.3458695465722838,0.3765198518582281,0.8315590364902652
52,52,9.0,frobenius,blackman,0.3722487847344267,0.353264590038506,0.8864196529194742
53,53,9.0,frobenius,flattop,0.3761686250849482,0.356478610416773,0.9393288946001735
54,54,9.0,frobenius,hamming,0.3345300254156853,0.3615541225896656,0.7195441520719541
55,55,9.0,frobenius,tukey,0.3569551138556504,0.3885581591579912,0.7127531584867728
56,56,10.0,frobenius,ones,0.2640148968034512,0.4079099096090952,0.7854174194856808
57,57,10.0,frobenius,hanning,0.4370335868437576,0.3332327434614221,0.9319215530783694
58,58,10.0,frobenius,bartlett,0.3773503556905588,0.3732057857882205,0.8494541890376822
59,59,10.0,frobenius,blackman,0.3832869014069086,0.350560611456015,0.9031709362560348
60,60,10.0,frobenius,flattop,0.335359327355583,0.3509668811528059,0.9387508247266962
61,61,10.0,frobenius,hamming,0.3810417033554237,0.3604929290001246,0.8457509191295011
62,62,10.0,frobenius,tukey,0.3459368010269289,0.3817545094525993,0.7574561100398765
63,63,11.0,frobenius,ones,0.2909763129922725,0.4133432913766096,0.8161631222503385
