,n_components,beta_loss,f_window,cosine_dist,corrcoef,cophcorr_esim
0,2.0,frobenius,ones,0.06748759385085884,0.6117125072774667,
1,2.0,frobenius,hanning,0.0956058627879991,0.6221096530207497,
2,2.0,frobenius,bartlett,0.07951160850295536,0.6225137342139928,
3,2.0,frobenius,blackman,0.09328342802126766,0.6203598777451755,
4,2.0,frobenius,flattop,0.09846319083540245,0.6132991771703631,
5,2.0,frobenius,hamming,0.08141496158578038,0.621998248673687,
6,2.0,frobenius,tukey,0.07385092171903207,0.6273747646147516,
7,3.0,frobenius,ones,0.1548706666106907,0.5452526535442148,0.9558346529834241
8,3.0,frobenius,hanning,0.18540950160941794,0.5034878047376279,0.6133977377861516
9,3.0,frobenius,bartlett,0.19334229301986944,0.5003314494919398,0.5975041952450245
10,3.0,frobenius,blackman,0.19624966271765876,0.5047985629007433,0.6977348676793075
11,3.0,frobenius,flattop,0.1933246392759368,0.4971090446972402,0.8472332475151282
12,3.0,frobenius,hamming,0.17893708967700528,0.5027871703882648,0.5857828404994886
13,3.0,frobenius,tukey,0.202393851694031,0.49630088121851224,0.7699337605425564
14,4.0,frobenius,ones,0.18094683690998503,0.4849360085300397,0.814013834838988
15,4.0,frobenius,hanning,0.2753965357888501,0.4438849469746926,0.8703738538848149
16,4.0,frobenius,bartlett,0.27286696134225985,0.43903334990953063,0.8336737310560766
17,4.0,frobenius,blackman,0.2501119008467113,0.44420274999452036,0.9212547194429392
18,4.0,frobenius,flattop,0.2162695209644182,0.4348243747513102,0.9461672215223415
19,4.0,frobenius,hamming,0.2604394672015492,0.44245269432326617,0.8248428788097526
20,4.0,frobenius,tukey,0.2689308794668239,0.4363759160205398,0.7061043744282589
21,5.0,frobenius,ones,0.19300539014627704,0.4781035847124981,0.8420392451498298
22,5.0,frobenius,hanning,0.3122250549021168,0.42729134373298394,0.8218891199313599
23,5.0,frobenius,bartlett,0.31041447358241014,0.40115675452990274,0.9251410355514651
24,5.0,frobenius,blackman,0.2777130279720108,0.422406122730835,0.7915100304812536
25,5.0,frobenius,flattop,0.28204786157793915,0.43246918496551806,0.8475139622002108
26,5.0,frobenius,hamming,0.30185133850670565,0.4040192089753745,0.9210670514625744
27,5.0,frobenius,tukey,0.2973771232328071,0.41764627157396267,0.8997253859574041
