,0,1,2,3,4,5,6,7,8,9
0,0.0,0.015846300060578706,0.0,0.0,0.0,0.0,0.08030990403758559,0.0,9.878961756050764,0.009715347557825257
1,3.0612933466997063,0.0,0.0,9.576912210123504,0.0,0.0,0.0,0.0,3.6812615803408355,0.0
2,5.731309681813473,0.0,0.0,0.2039664546224162,0.014446035042977146,0.1390039596114088,0.0,0.0,0.6573009345602217,0.0
3,2.3362188384294624,0.23757399859611883,0.0,0.0,0.0,0.0,4.1309629132347485,0.4624502374600876,0.0,0.0
4,0.0007252323412157552,0.0,0.0,0.0,0.1189780846483265,0.006906261400632663,5.160153446871826,0.0,0.16154734960929892,0.0
5,0.0,0.0,0.0,0.0,0.2343888148455641,0.3248507369897183,3.338858251796293,0.0,0.0,0.0
6,0.0,0.13032818025007523,0.0,0.0,0.2200266875794842,0.48412822183956167,2.715875138068271,0.2915135349026689,0.0,0.0
7,0.0,0.1802817088824677,0.0,0.0,0.2338907549828329,0.5642164746807599,2.0413985341289616,0.3107373217244805,0.0,0.0
8,0.0,0.10350755578954866,0.0,0.0,0.22060220728455862,0.646154238534493,1.7017828085214477,0.12062498403315779,0.0,0.0
9,0.0,0.09571324229824624,0.0,0.0,0.25088019813439716,0.7375490152988636,1.3046421214962074,0.2940370941447483,0.0,0.0
10,0.0,0.18530607691032447,0.0,0.0,0.1422370040308907,0.8879158597636395,1.084319266762055,0.44142620929886345,0.0,0.0
11,0.0,0.2997476585762389,0.0,0.0,0.07840167966511433,1.0138136594073233,1.0217002537097986,0.6139720269229774,0.0,0.0
12,0.0,0.34761668087180325,0.0,0.0,0.07921476243286493,1.0784036968971467,0.8395319083762655,0.8849127522976757,0.0,0.0
13,0.0,0.38169441423078715,0.0,0.0,0.06158397630794062,1.1564982157321795,0.7462564537351472,1.0914680192851318,0.0,0.0
14,0.0,0.4537500480417397,0.0,0.0,0.05172594423132253,1.104160219690972,0.7146745669090048,1.3787227615515176,0.0,0.0
15,0.0,0.6445767789425215,0.0,0.0,0.006151337854734995,0.9443792007021417,0.5506740911846227,1.761510056672993,0.0,0.0
16,0.0,0.8412555841454696,0.0,0.0,0.0,0.7408163809131182,0.3963691095066399,2.307732708918478,0.0,0.0
17,0.0,1.0043279982642361,0.0,0.0,0.029648323439195573,0.5508781537227133,0.29981020763761884,3.057901258235246,0.0,0.0
