,Circuit Family,Circuit Name,timestamp_fgc,Position,sec_quench_number,dstd_score
771,RB,RB.A34,1.61959158688e+18,B17R3,2,3.50708786641287
1720,RB,RB.A56,1.62237607618e+18,B14R5,2,3.3516199084334053
772,RB,RB.A34,1.61959158688e+18,A15R3,3,2.984919654572466
375,RB,RB.A34,1.61837857228e+18,C32L4,2,2.6525705108512394
1502,RB,RB.A12,1.62178168396e+18,B28L2,1,2.2781353002493376
750,RB,RB.A34,1.61955333928e+18,A29L4,1,1.8961754647890268
2444,RB,RB.A67,1.62862421102e+18,A34R6,1,1.8858268301379633
1481,RB,RB.A12,1.62175033342e+18,A13R1,0,1.8485336115287616
397,RB,RB.A78,1.61846389218e+18,B14L8,1,1.8278763157783469
2633,RB,RB.A67,1.62982224942e+18,A24L7,1,1.8247533735094033
1593,RB,RB.A23,1.62196963518e+18,B23R2,0,1.799286296948488
1478,RB,RB.A56,1.6217479771e+18,C21L6,1,1.77496782012796
1747,RB,RB.A45,1.62243987524e+18,A17R4,5,1.7699983261185386
1594,RB,RB.A23,1.62196963518e+18,A23R2,1,1.763826977388736
424,RB,RB.A78,1.6185503975e+18,C16L8,0,1.730287577424927
1851,RB,RB.A12,1.6228761689e+18,C21R1,1,1.729616698438211
1691,RB,RB.A12,1.6223076562e+18,B21L2,0,1.7214740672648998
2549,RB,RB.A81,1.62921374652e+18,B17L1,0,1.6842816777762926
687,RB,RB.A12,1.61937454108e+18,A27L2,1,1.6315715475442343
1104,RB,RB.A12,1.62071726414e+18,C22R1,1,1.6312797898337785
354,RB,RB.A78,1.61824728402e+18,B19L8,1,1.627109893443288
1936,RB,RB.A56,1.62382344984e+18,A30R5,1,1.6145723907917977
239,RB,RB.A34,1.61763714008e+18,B20L4,1,1.5929843741245489
1568,RB,RB.A23,1.62193946054e+18,B16R2,1,1.5910959161085758
1718,RB,RB.A56,1.62237607618e+18,C14R5,0,1.5890357607682615
1179,RB,RB.A45,1.62088877406e+18,C25R4,4,1.5857420820788233
2392,RB,RB.A81,1.62835793616e+18,C34R8,3,1.5751332703213843
503,RB,RB.A78,1.6187811107e+18,C22L8,2,1.5745691013273595
115,RB,RB.A78,1.61703886362e+18,A8L8,0,1.5640861492866203
1894,RB,RB.A56,1.62348014216e+18,C12R5,3,1.5625995216741673
2520,RB,RB.A67,1.62889151688e+18,A32L7,1,1.5595687952243593
1538,RB,RB.A56,1.62186975046e+18,A12L6,4,1.533906161679426
1692,RB,RB.A12,1.6223076562e+18,A21L2,1,1.5290747422626292
403,RB,RB.A34,1.61846631782e+18,A29L4,1,1.5269824926177442
1417,RB,RB.A23,1.62153926176e+18,A26R2,9,1.5199070451449763
1833,RB,RB.A45,1.62278312e+18,A23R4,3,1.517376142725529
1746,RB,RB.A45,1.62243987524e+18,C18R4,4,1.5071208580385995
2573,RB,RB.A81,1.62931393022e+18,B24R8,1,1.5053828653985233
2576,RB,RB.A67,1.6293191263e+18,B10R6,0,1.4987028977219674
730,RB,RB.A12,1.61950072032e+18,B32L2,5,1.4940093737310003
991,RB,RB.A45,1.62032671274e+18,A9L5,5,1.4930250568972043
1049,RB,RB.A12,1.62054776732e+18,A25R1,0,1.492797773518659
139,RB,RB.A78,1.61717025514e+18,B18L8,0,1.4833445254808622
511,RB,RB.A78,1.6188138331e+18,B11L8,1,1.4830791913814962
469,RB,RB.A34,1.61868538488e+18,A23L4,1,1.4733113403692504
477,RB,RB.A78,1.61872313086e+18,C12L8,3,1.4730131812934466
2321,RB,RB.A81,1.62809199758e+18,A11R8,1,1.4678650773330644
2496,RB,RB.A67,1.62883186594e+18,B11R6,4,1.4551089820504708
209,RB,RB.A34,1.61751821092e+18,A16R3,4,1.4545854986230073
1300,RB,RB.A12,1.6211899921e+18,B33L2,4,1.4538667675144605
658,RB,RB.A45,1.61932838966e+18,B10L5,1,1.4531589718078322
943,RB,RB.A45,1.62015606092e+18,A25L5,0,1.4413215368096899
58,RB,RB.A78,1.61574209764e+18,A23L8,1,1.4409542589265152
1202,RB,RB.A45,1.62092997424e+18,B12R4,1,1.4406187552478145
1576,RB,RB.A45,1.62196047906e+18,A13R4,0,1.440602706860446
874,RB,RB.A12,1.61989761654e+18,C28L2,1,1.4383648556322564
167,RB,RB.A34,1.61738980716e+18,B27L4,1,1.4371945031816538
14,RB,RB.A78,1.61536340226e+18,A26L8,1,1.4370220007263474
536,RB,RB.A78,1.61889829676e+18,A22R7,1,1.4364134268522322
420,RB,RB.A34,1.61851575466e+18,B25L4,0,1.4336774266550794
1681,RB,RB.A12,1.6222710066e+18,C17L2,1,1.4320587618905967
2572,RB,RB.A81,1.62931393022e+18,A24R8,0,1.4298190129993469
2189,RB,RB.A56,1.62712105436e+18,B11L6,0,1.4196634549367415
1749,RB,RB.A45,1.62243987524e+18,C16R4,7,1.418161473542698
1259,RB,RB.A23,1.6210889377e+18,C33L3,3,1.4170874404729872
531,RB,RB.A34,1.61889651096e+18,A28R3,1,1.415016223827219
1177,RB,RB.A45,1.62088877406e+18,B25R4,2,1.409899307976526
1969,RB,RB.A56,1.62417411978e+18,A18L6,1,1.4086972684014782
1352,RB,RB.A12,1.62140111322e+18,A17L2,3,1.400933550343981
1447,RB,RB.A45,1.621619992e+18,A21R4,0,1.3975704968373652
2540,RB,RB.A67,1.6291780535e+18,B34R6,1,1.3943741103999037
2421,RB,RB.A67,1.6284876573e+18,A14R6,1,1.391612714909677
1929,RB,RB.A56,1.62377971434e+18,C20L6,0,1.3889172536996746
1871,RB,RB.A45,1.62300282154e+18,B26L5,1,1.3880842032185363
1218,RB,RB.A45,1.62097530838e+18,A15R4,1,1.3850338549942627
852,RB,RB.A12,1.61985987722e+18,B13L2,1,1.3843050770349545
2677,RB,RB.A78,1.63600648614e+18,B16L8,0,1.3826056264423736
1867,RB,RB.A45,1.62297322878e+18,B26L5,1,1.3824000365643088
112,RB,RB.A34,1.61703533608e+18,B8L4,0,1.3725703497799941
2468,RB,RB.A67,1.62874502474e+18,A24L7,0,1.369441519684255
1776,RB,RB.A45,1.62256585542e+18,A19R4,1,1.3692699742644603
948,RB,RB.A12,1.62019663854e+18,C29L2,1,1.3688431597542035
1831,RB,RB.A45,1.62278312e+18,C22R4,1,1.3663301514656552
255,RB,RB.A78,1.61773311482e+18,A32L8,0,1.3652026240782187
550,RB,RB.A78,1.61902939046e+18,B14R7,1,1.3646380942445295
965,RB,RB.A45,1.6202328738e+18,B32R4,6,1.3641935650232644
2140,RB,RB.A67,1.6268042848e+18,A20L7,0,1.3641407105018
256,RB,RB.A78,1.61773311482e+18,B32L8,1,1.3629819655353026
1506,RB,RB.A12,1.62178168396e+18,C29L2,5,1.3612820110073873
478,RB,RB.A78,1.61872313086e+18,A12L8,4,1.3586068226591457
1744,RB,RB.A45,1.62243987524e+18,B17R4,2,1.3535862328373751
1745,RB,RB.A45,1.62243987524e+18,B18R4,3,1.3529412849638072
2749,RB,RB.A23,1.63648812412e+18,B23R2,7,1.3494769644160323
1170,RB,RB.A23,1.62088616918e+18,A34L3,5,1.34023986742703
731,RB,RB.A12,1.61950072032e+18,A32L2,6,1.3382112048494688
1525,RB,RB.A45,1.6218387063e+18,B32L5,1,1.3355784624919416
486,RB,RB.A34,1.61872825712e+18,B14L4,1,1.3352976100645468
2765,RB,RB.A78,1.63656954476e+18,C25L8,1,1.3332754766592687
2443,RB,RB.A67,1.62862421102e+18,B34R6,0,1.3315155269403054
631,RB,RB.A45,1.61924188182e+18,C22R4,3,1.3272672504471685
2399,RB,RB.A81,1.62839925374e+18,C16R8,0,1.3262734034866623
2289,RB,RB.A81,1.62792132294e+18,C32L1,0,1.3254711427861319
1292,RB,RB.A45,1.62118034402e+18,B24R4,1,1.3252640560884088
633,RB,RB.A12,1.61924435844e+18,C25L2,0,1.3230771886869246
132,RB,RB.A78,1.61712345812e+18,A24L8,0,1.3225064775164692
520,RB,RB.A34,1.61884893692e+18,C34L4,1,1.3207799760463304
10,RB,RB.A78,1.61530866352e+18,A16L8,0,1.319086477615961
1397,RB,RB.A56,1.62152852234e+18,C17L6,0,1.3172910597094853
294,RB,RB.A34,1.61794560808e+18,C22L4,1,1.3162656361508294
2376,RB,RB.A81,1.62833467726e+18,C33L1,1,1.3118649099134463
1653,RB,RB.A12,1.62213962138e+18,A26L2,6,1.3107558331560132
1827,RB,RB.A12,1.6227907995e+18,B8L2,4,1.3097620753186887
1965,RB,RB.A56,1.62411529266e+18,C27L6,0,1.3076226440232162
831,RB,RB.A34,1.61981042158e+18,C33R3,1,1.3065354881114637
266,RB,RB.A78,1.61777556238e+18,A17L8,1,1.3053302189173113
1227,RB,RB.A45,1.62100142284e+18,C18R4,6,1.301608308712384
1792,RB,RB.A12,1.6226521232e+18,A17R1,3,1.3015005563280724
459,RB,RB.A78,1.61867458034e+18,B27L8,1,1.3012928142535558
1651,RB,RB.A12,1.62213962138e+18,B26L2,4,1.3010504786507673
1091,RB,RB.A12,1.62067304716e+18,B8L2,3,1.2968195834030665
1450,RB,RB.A45,1.621619992e+18,C20R4,3,1.2961288200514534
1291,RB,RB.A45,1.62118034402e+18,C24R4,0,1.2945412894561819
1377,RB,RB.A56,1.62148708604e+18,C17L6,0,1.291975775723789
2165,RB,RB.A67,1.62701809652e+18,B29R6,1,1.291439085776919
2692,RB,RB.A23,1.63614354468e+18,A34R2,0,1.286737577458385
1311,RB,RB.A45,1.62123043182e+18,B29L5,1,1.2840462920646263
1454,RB,RB.A45,1.62166041038e+18,A9L5,2,1.2800155883960742
57,RB,RB.A78,1.61574209764e+18,B23L8,0,1.2783221839590555
1696,RB,RB.A12,1.6223076562e+18,A22L2,5,1.27693345890998
2746,RB,RB.A23,1.63648812412e+18,C17R2,4,1.2768343191191782
2426,RB,RB.A67,1.62853565468e+18,A19R6,1,1.2749889868332636
377,RB,RB.A34,1.61837857228e+18,C33L4,4,1.2711371389472919
1098,RB,RB.A23,1.62071452792e+18,B28R2,1,1.2709834337677592
2279,RB,RB.A81,1.62782247472e+18,C19L1,2,1.2704527007861834
883,RB,RB.A45,1.6199331781e+18,B8R4,2,1.2676620512912171
1186,RB,RB.A23,1.6209235938e+18,B15R2,3,1.2654479372954575
620,RB,RB.A12,1.6191961606e+18,A27R1,0,1.2652558772123275
391,RB,RB.A34,1.61843156658e+18,B20L4,2,1.2637616617741727
440,RB,RB.A34,1.61858269106e+18,B11L4,0,1.262760669727195
2218,RB,RB.A67,1.6274010189e+18,C23R6,1,1.2622835455013202
628,RB,RB.A45,1.61924188182e+18,B23R4,0,1.2599507689174665
820,RB,RB.A34,1.61976296876e+18,A8R3,0,1.2586787471131156
275,RB,RB.A78,1.6178593291e+18,A26L8,0,1.2576084910987149
2130,RB,RB.A67,1.6266719382e+18,C17R6,2,1.2543614173861706
1307,RB,RB.A23,1.62123347192e+18,B18L3,1,1.2525873963002583
1046,RB,RB.A45,1.6205375075e+18,B28R4,1,1.2518220505794802
2519,RB,RB.A67,1.62889151688e+18,B32L7,0,1.2514441861615506
2425,RB,RB.A67,1.62853565468e+18,B19R6,0,1.2508125177407463
1393,RB,RB.A23,1.62149440364e+18,B25L3,1,1.2494940764805096
438,RB,RB.A78,1.6185765411e+18,C26R7,3,1.2493636809757753
2214,RB,RB.A81,1.62736279874e+18,B32R8,2,1.2474254546379562
2251,RB,RB.A67,1.62762492722e+18,C18R6,4,1.2468307902484197
2445,RB,RB.A67,1.62862421102e+18,C34R6,2,1.2441819365743618
2670,RB,RB.A78,1.63592162876e+18,B22L8,1,1.2432942795809312
173,RB,RB.A34,1.61742629114e+18,B18L4,3,1.241929331907914
1416,RB,RB.A23,1.62153926176e+18,C24R2,8,1.2416145557190157
1505,RB,RB.A12,1.62178168396e+18,A28L2,4,1.2382094626223894
1743,RB,RB.A45,1.62243987524e+18,C17R4,1,1.2362379999937683
359,RB,RB.A34,1.61832775692e+18,A23L4,2,1.2353820388881476
2396,RB,RB.A81,1.62835793616e+18,C34L1,7,1.2342664929563878
2655,RB,RB.A81,1.62999549358e+18,B17R8,0,1.2342073104841942
432,RB,RB.A34,1.61855491546e+18,A12L4,3,1.2327340565519245
2764,RB,RB.A78,1.63656954476e+18,B25L8,0,1.2275423847047677
1680,RB,RB.A12,1.6222710066e+18,B17L2,0,1.2265715895444491
