,Circuit Family,Circuit Name,timestamp_fgc,Position,sec_quench_number,dstd_score
2549,RB,RB.A81,1.62921374652e+18,B17L1,0,6.058461160310372
1720,RB,RB.A56,1.62237607618e+18,B14R5,2,5.169971850120318
375,RB,RB.A34,1.61837857228e+18,C32L4,2,5.168529224165523
1502,RB,RB.A12,1.62178168396e+18,B28L2,1,5.129844017363797
772,RB,RB.A34,1.61959158688e+18,A15R3,3,4.485267924966247
771,RB,RB.A34,1.61959158688e+18,B17R3,2,4.039189987180919
477,RB,RB.A78,1.61872313086e+18,C12L8,3,3.7352139904021255
1311,RB,RB.A45,1.62123043182e+18,B29L5,1,3.071717433655951
376,RB,RB.A34,1.61837857228e+18,A33L4,3,2.7193721543056126
750,RB,RB.A34,1.61955333928e+18,A29L4,1,2.610951284264367
100,RB,RB.A78,1.6169621744e+18,C28L8,0,2.3126051885254837
2633,RB,RB.A67,1.62982224942e+18,A24L7,1,2.3060821156364213
1828,RB,RB.A12,1.6227907995e+18,A9L2,5,2.2423033529476273
2279,RB,RB.A81,1.62782247472e+18,C19L1,2,2.178852096275211
2392,RB,RB.A81,1.62835793616e+18,C34R8,3,2.1076969813068227
2444,RB,RB.A67,1.62862421102e+18,A34R6,1,2.0307156665485726
2011,RB,RB.A56,1.62464014688e+18,C19R5,1,2.0070023014416685
2572,RB,RB.A81,1.62931393022e+18,A24R8,0,2.0034108996587148
2765,RB,RB.A78,1.63656954476e+18,C25L8,1,1.9638622853397423
1481,RB,RB.A12,1.62175033342e+18,A13R1,0,1.944842566932803
429,RB,RB.A34,1.61855491546e+18,C12L4,0,1.9344588412797956
403,RB,RB.A34,1.61846631782e+18,A29L4,1,1.9171918774659034
531,RB,RB.A34,1.61889651096e+18,A28R3,1,1.84532088132063
677,RB,RB.A34,1.61936106348e+18,B30L4,1,1.839554588941368
1718,RB,RB.A56,1.62237607618e+18,C14R5,0,1.8349467737792617
1851,RB,RB.A12,1.6228761689e+18,C21R1,1,1.8040095475319657
397,RB,RB.A78,1.61846389218e+18,B14L8,1,1.792613314331167
1049,RB,RB.A12,1.62054776732e+18,A25R1,0,1.7544933744795046
2468,RB,RB.A67,1.62874502474e+18,A24L7,0,1.7356357999661671
1696,RB,RB.A12,1.6223076562e+18,A22L2,5,1.7106753021383247
1867,RB,RB.A45,1.62297322878e+18,B26L5,1,1.6796379867075275
2637,RB,RB.A81,1.62983127976e+18,C20L1,0,1.640858579372645
2551,RB,RB.A81,1.62921374652e+18,C17L1,2,1.6266945345730655
1170,RB,RB.A23,1.62088616918e+18,A34L3,5,1.6175616796076255
