n_components,beta_loss,f_window,weights_cosine,weights_euclidean,weights_sqeuclidean,weights_seuclidean,weights_correlation,weights_jensenshannon,weights_chebyshev,weights_canberra,comp_cosine,comp_euclidean,comp_sqeuclidean,comp_seuclidean,comp_correlation,comp_jensenshannon,comp_chebyshev,comp_canberra,weights_norm_cosine,weights_norm_euclidean,weights_norm_sqeuclidean,weights_norm_seuclidean,weights_norm_correlation,weights_norm_jensenshannon,weights_norm_chebyshev,weights_norm_canberra,comp_norm_cosine,comp_norm_euclidean,comp_norm_sqeuclidean,comp_norm_seuclidean,comp_norm_correlation,comp_norm_jensenshannon,comp_norm_chebyshev,comp_norm_canberra
2.0,frobenius,ones,0.11980296741888576,0.0032539124108956993,9.688128868727304e-05,0.7319385694741681,0.812988181409234,inf,0.003062254148843055,0.8664527684856453,0.055306325182949624,0.13143974496208444,0.1016030679061499,0.844125361631505,0.8521608040201005,0.09920738269441765,0.12591974938447095,0.713284657125382,0.13037442339587904,0.4207564947074569,0.2505964085650447,1.600622076667119,0.8530702286005187,inf,0.34984559361860423,0.5513438028076607,0.05530632518294956,0.24423294464240358,0.11061265036589925,1.4729057381609887,0.8521608040201005,0.0992073826944174,0.19690586674191518,0.27924827899139737
2.0,frobenius,hanning,0.16892382552609353,0.0032728578402629847,0.0001535266391655216,0.9371547971085937,0.9960992354501482,inf,0.003991837074716254,0.8945238290303417,0.06065266257892387,0.13276973748608317,0.13583160688873253,0.7411712306194493,0.5125628140703518,0.11143669561766403,0.1297571909132188,0.7309180346607376,0.16664452480512118,0.5086475528264928,0.33409741377789154,1.6471123204893705,0.9681593260540629,inf,0.41944831045548503,0.6280171794719133,0.060652662578923815,0.2546630197772172,0.12130532515784777,1.4581005808691796,0.5125628140703518,0.11143669561766417,0.2137105946975575,0.3138112890318973
2.0,frobenius,bartlett,0.16328779353584394,0.0038244344922124685,9.84062037777e-05,0.8607256815410333,0.9791977672486533,inf,0.003244891300650382,0.9509175559640838,0.06013988025197886,0.1291123383560136,0.12729320953670387,0.7451627999641913,0.5265326633165829,0.11076045929482858,0.12601605308337482,0.7291520140159755,0.17461002573291987,0.4815826573623187,0.3283894861564659,1.6478988696069834,0.9884204827357721,inf,0.3922318974937013,0.6080713431676884,0.06013988025197882,0.25459450625311786,0.12027976050395778,1.463510965804062,0.5265326633165829,0.11076045929482815,0.2134677320223529,0.31226553596364104
2.0,frobenius,blackman,0.17444671359566244,0.004241665657437855,0.0006016578499213135,0.7608982376890333,0.9990270288098418,inf,0.00419272710949577,0.9554549488440576,0.06197258433376786,0.14016729530236868,0.14856653677779824,0.7501978971602483,0.4694472361809045,0.11325245286263526,0.1373387356433386,0.7305835248719448,0.18201200435503953,0.49633999714760607,0.372602236068822,1.6506542488546554,0.9958041958041958,inf,0.4085807343882255,0.6742118578463556,0.06197258433376779,0.2524373061934181,0.12394516866753569,1.4301319628227327,0.4694472361809045,0.11325245286263494,0.21404083068786275,0.3192624325636309
2.0,frobenius,flattop,0.18893708967386041,0.004220488095278945,0.00018551536882435555,0.6244226057196505,0.9862446723768384,inf,0.004270336066674783,0.9898629447264139,0.06462721030000003,0.18719111288766235,0.22746814395793463,0.8182619746744988,0.244321608040201,0.11851009681485451,0.18426015087719805,0.7361827305131126,0.1949411333235602,0.5143476333720561,0.3799477403766257,1.651742247635176,0.9992383223221234,inf,0.41438357904242096,0.7040421802599471,0.06462721029999996,0.24383544546467986,0.12925442060000006,1.3505109901950871,0.244321608040201,0.11851009681485505,0.21169244103798504,0.33866822656887496
2.0,frobenius,hamming,0.1501539662439852,0.004088840081865512,9.892812017297568e-05,0.5809707203378947,0.9815668202764977,inf,0.003352054498773729,0.9174048544395479,0.06025491814586232,0.1289055273500705,0.1285812408328982,0.7390508172587532,0.6186934673366834,0.11100851958926908,0.1257445936861323,0.7281315274260922,0.1691639877977596,0.49762254104685755,0.3477327242257855,1.644608524980068,0.9922054553633501,inf,0.39543894583717476,0.578538002613298,0.06025491814586228,0.25744886711028353,0.12050983629172467,1.4790212884059428,0.6186934673366834,0.1110085195892691,0.21444457785548593,0.3122508441471759
2.0,frobenius,tukey,0.15506948879509444,0.0036329101758062034,6.168420474768426e-05,0.7770374304066621,0.9865746706014381,inf,0.00410260259020909,0.9290652051073157,0.058467532227764345,0.12720615879921232,0.1161215722156603,0.7667803135389193,0.8015075376884422,0.10889389358980177,0.12343814871506302,0.7460225607704429,0.14749547631408447,0.4871795548885986,0.3127026651404722,1.6453819641100438,0.9994683678894205,inf,0.3818603633389508,0.5682053848700505,0.058467532227764275,0.2569539693097621,0.11693506445552869,1.4976238603863647,0.8015075376884422,0.10889389358980195,0.21246936189400606,0.3068568182218717
3.0,frobenius,ones,0.18903855558217955,0.004082045403117605,0.00012750727473313526,1.454204982609353,0.6253054940576311,inf,0.003951473631172042,1.5299301592965697,0.10096341047809504,0.16175128058691188,0.1405078114423563,1.1715737131546746,0.29292293371826267,0.14891861498720485,0.15446230541610365,1.0685749549063963,0.18216340392616143,0.5674971057464764,0.4032833446136201,2.149957846099938,0.6347585738212825,inf,0.43786704655908726,1.184908900184741,0.10096341047809498,0.32066126219104296,0.2019268209561901,1.6832383608790633,0.29292293371826267,0.14891861498720482,0.26069282470629224,0.5865905970453492
3.0,frobenius,hanning,0.2273927175622599,0.005134406004060873,0.0001224347210956003,1.0887062251138517,0.981048884813996,inf,0.004544326314692463,1.4174241075772602,0.11657590839965784,0.17298736787309427,0.1608396905817733,1.281706625050945,0.21724121634214885,0.1918567141969938,0.16779611307298514,1.3699358633453274,0.23249808315408083,0.6338768317743215,0.4799300517904348,2.2057940917578955,0.9848642281437848,inf,0.48895036943013065,1.1407406860809035,0.11657590839965776,0.3197028561026214,0.23315181679931568,1.5356405218542664,0.21724121634214882,0.1918567141969938,0.2719969784578329,1.0260413469859822
3.0,frobenius,bartlett,0.23613166687344894,0.004169506974354073,7.234782778494578e-05,1.1100675640002817,0.9945964150093919,inf,0.003487734500090136,1.434671236696623,0.11872749569658038,0.16768279493026192,0.15206535066288965,1.2662070783613277,0.22738436442329332,0.19075290297466743,0.16245374269588395,1.321218203563165,0.24259603401266708,0.6454866414491675,0.48865069846282155,2.2147439952572108,0.9877364667926726,inf,0.4834001910689153,1.0987790214373618,0.11872749569658028,0.3273901603171187,0.23745499139316076,1.5577387851584354,0.22738436442329332,0.1907529029746676,0.2780620837310124,0.9503452844421172
3.0,frobenius,blackman,0.24372363974644357,0.005483882754707271,8.771685394080741e-05,1.2412841626249425,0.9206426145986607,inf,0.0037808505333640175,1.404496864874062,0.11678682274708298,0.17880960623682335,0.17157058884769352,1.3116046030211317,0.2084935923092535,0.20009560614386515,0.17383699404456734,1.6334440901338452,0.2404420714283879,0.6345870761757295,0.49615295588724595,2.201173084696955,0.95019243268663,inf,0.49680629303185886,1.2087281398665246,0.11678682274708291,0.3117439522528785,0.2335736454941659,1.4999162270003723,0.2084935923092535,0.20009560614386518,0.267022995332774,1.3495993305191343
3.0,frobenius,flattop,0.2640589495631892,0.006333421798983124,0.00017343719775375936,1.1416818547999268,0.9371642544518799,inf,0.005468862269231896,1.5247408029509284,0.13193614328200742,0.22621823725016957,0.25211676291228896,1.401696051476642,0.224016511812549,0.21935590935188126,0.21997538737753855,1.8756911063432868,0.26837274919816895,0.6616269825920802,0.5432883950036228,2.205761190151549,0.9140721373670664,inf,0.5165037855091733,1.3369740174587323,0.13193614328200737,0.3180795809792785,0.2638722865640149,1.4545853670050555,0.22401651181254892,0.21935590935188373,0.2712089743156025,1.6632635677535674
3.0,frobenius,hamming,0.23434382198633197,0.004475207225386053,0.00010996586164646916,1.1771801318811466,1.0006408074332458,inf,0.004129733952106217,1.3829308168980177,0.1156157398506865,0.16796739669939786,0.1535794262996193,1.2656850313548242,0.222521111475924,0.1848059473813725,0.16283683882781128,1.2640588427206978,0.2342057811334339,0.613908373128567,0.4795573780465144,2.2108504245637386,0.9930904345246222,inf,0.49394699693958233,1.1183755388332455,0.11561573985068645,0.3206216351653393,0.23123147970137306,1.5426854267918289,0.222521111475924,0.18480594738137246,0.27256255370931065,0.8640118200934652
3.0,frobenius,tukey,0.23233777108820858,0.004960460619642301,9.494979324107966e-05,1.0664608832239242,0.9701454154192264,inf,0.0042934384368567185,1.4464000122899006,0.12901695876545322,0.16773285062726448,0.14594050231606676,1.2470096080086233,0.28695762749081694,0.19182757364566838,0.16264324657992354,1.1539955234127244,0.23741783585884496,0.6301909534917819,0.4775955886323568,2.2102280041211357,0.9844982656370829,inf,0.477427237076294,1.096765983552061,0.12901695876545316,0.36646268847114716,0.2580339175309065,1.692472487388244,0.28695762749081694,0.19182757364566838,0.3009763608549026,0.869018810884272
4.0,frobenius,ones,0.23504196299817703,0.005357436159474629,0.00011957087488572057,1.642679039006778,0.6483697385965193,inf,0.004511071612328578,2.179431078508755,0.12781905318774273,0.17896460590884913,0.16412593629512953,1.3865836422650182,0.2558147885237942,0.19669094715104693,0.16654654100768454,1.9760308766154169,0.22198194830954882,0.6108137122623097,0.4855530654945617,2.570766862497226,0.6815094258242334,inf,0.4675864385884128,1.9472969492138925,0.12781905318774267,0.367695978041971,0.2556381063754854,2.0039721988108576,0.2558147885237942,0.19669094715104687,0.2947793277471344,1.5398459860415163
4.0,frobenius,hanning,0.31094946780492233,0.004293055802784,0.000299201209309482,1.3010667559734157,0.8844770552604858,inf,0.003617662130579446,2.2388856233029046,0.17189750443028196,0.18974349005612756,0.1728657113050631,1.6801930047996927,0.2531807976619656,0.2833465447474258,0.17905665104122517,2.977596190644345,0.30526110815515095,0.7451133970185203,0.6157860851756235,2.6354024995573524,0.8902348794091299,inf,0.5626227971473249,1.911326598399272,0.17189750443028187,0.39364621932794325,0.3437950088605639,1.8446556478778429,0.2531807976619656,0.28334654474742577,0.3285831981326137,2.842407901765313
4.0,frobenius,bartlett,0.3199668447458254,0.0053953980908632085,0.0002381522384439192,1.429761890599932,0.8760016070499523,inf,0.0037617278704897505,2.3549992971753477,0.16437814309441368,0.18215981909955428,0.16224990834544872,1.6204267388295615,0.2480265886675528,0.2618306627485869,0.17115193591547626,2.830368491973481,0.30541850172644314,0.7451135053141195,0.6258165865348732,2.6286517069273625,0.8617181218045142,inf,0.5451592735706642,2.051270530489999,0.1643781430944136,0.38897091713150156,0.32875628618882735,1.8673561007664898,0.2480265886675528,0.2618306627485869,0.3241921556320167,2.6541636644994537
