,QPS Crate&Board,Bus Bar Segment Name,1st Magnet,2nd Magnet,Num of splices,Dcum1,Dcum2,QPS Crate,QPS Board,Circuit,#Segment
47,B29R1_1,DCBB.A29R1.R,MB.C29R1,MB.A29R1,2,1380.2507,1348.9307,B29R1,1,RB.A12,48
48,B29R1_2,DCBB.28R1.R,MB.A29R1,MB.B28R1,3,1348.9307,1311.1407,B29R1,2,RB.A12,49
49,B27R1_0,DCBB.B27R1.R,MB.B28R1,MB.C27R1,3,1311.1407,1273.3507,B27R1,0,RB.A12,50
50,B27R1_1,DCBB.A27R1.R,MB.C27R1,MB.A27R1,2,1273.3507,1242.0307,B27R1,1,RB.A12,51
51,B27R1_2,DCBB.26R1.R,MB.A27R1,MB.B26R1,3,1242.0307,1204.2407,B27R1,2,RB.A12,52
52,B25R1_0,DCBB.B25R1.R,MB.B26R1,MB.C25R1,3,1204.2407,1166.4507,B25R1,0,RB.A12,53
53,B25R1_1,DCBB.A25R1.R,MB.C25R1,MB.A25R1,2,1166.4507,1135.1307,B25R1,1,RB.A12,54
54,B25R1_2,DCBB.24R1.R,MB.A25R1,MB.B24R1,3,1135.1307,1097.3407,B25R1,2,RB.A12,55
55,B23R1_0,DCBB.B23R1.R,MB.B24R1,MB.C23R1,3,1097.3407,1059.5507,B23R1,0,RB.A12,56
56,B23R1_1,DCBB.A23R1.R,MB.C23R1,MB.A23R1,2,1059.5507,1028.2307,B23R1,1,RB.A12,57
57,B23R1_2,DCBB.22R1.R,MB.A23R1,MB.B22R1,3,1028.2307,990.4407,B23R1,2,RB.A12,58
58,B21R1_0,DCBB.B21R1.R,MB.B22R1,MB.C21R1,3,990.4407,952.6507,B21R1,0,RB.A12,59
59,B21R1_1,DCBB.A21R1.R,MB.C21R1,MB.A21R1,2,952.6507,921.3307,B21R1,1,RB.A12,60
60,B21R1_2,DCBB.20R1.R,MB.A21R1,MB.B20R1,3,921.3307,883.5407,B21R1,2,RB.A12,61
61,B19R1_0,DCBB.B19R1.R,MB.B20R1,MB.C19R1,3,883.5407,845.7507,B19R1,0,RB.A12,62
62,B19R1_1,DCBB.A19R1.R,MB.C19R1,MB.A19R1,2,845.7507,814.4307,B19R1,1,RB.A12,63
63,B19R1_2,DCBB.18R1.R,MB.A19R1,MB.B18R1,3,814.4307,776.6407,B19R1,2,RB.A12,64
64,B17R1_0,DCBB.B17R1.R,MB.B18R1,MB.C17R1,3,776.6407,738.8507,B17R1,0,RB.A12,65
65,B17R1_1,DCBB.A17R1.R,MB.C17R1,MB.A17R1,2,738.8507,707.5307,B17R1,1,RB.A12,66
66,B17R1_2,DCBB.16R1.R,MB.A17R1,MB.B16R1,3,707.5307,669.7407,B17R1,2,RB.A12,67
67,B15R1_0,DCBB.B15R1.R,MB.B16R1,MB.C15R1,3,669.7407,631.9507,B15R1,0,RB.A12,68
68,B15R1_1,DCBB.A15R1.R,MB.C15R1,MB.A15R1,2,631.9507,600.6307,B15R1,1,RB.A12,69
69,B15R1_2,DCBB.14R1.R,MB.A15R1,MB.B14R1,3,600.6307,562.8407,B15R1,2,RB.A12,70
70,B13R1_0,DCBB.B13R1.R,MB.B14R1,MB.C13R1,3,562.8407,525.0507,B13R1,0,RB.A12,71
71,B13R1_1,DCBB.A13R1.R,MB.C13R1,MB.A13R1,2,525.0507,493.7307,B13R1,1,RB.A12,72
72,B13R1_2,DCBB.12R1.R,MB.A13R1,MB.B12R1,3,493.7307,455.9407,B13R1,2,RB.A12,73
73,B11R1_0,DCBB.11R1.R,MB.B12R1,MB.B11R1,4,455.9407,403.159,B11R1,0,RB.A12,74
74,B11R1_1,DCBB.10R1.R,MB.B11R1,MB.B10R1,3,403.159,364.094,B11R1,1,RB.A12,75
75,B11R1_2,DCBB.9R1.R,MB.B10R1,MB.B9R1,3,364.094,323.629,B11R1,2,RB.A12,76
76,B9R1_0,DCBB.8R1.R,MB.B9R1,MB.B8R1,3,323.629,284.564,B9R1,0,RB.A12,77
77,B9R1_1,DCBD.7R1.R,MB.B8R1,DFLAS.7R1.1,5,284.564,254.834,B9R1,1,RB.A12,78
78,B8R1_0,DCBQ.7R1.L,DFLAS.7R1.2,MB.A8R1,4,254.494,268.904,B8R1,0,RB.A12,79
79,B8R1_1,DCBQ.8R1.L,MB.A8R1,MB.A9R1,3,268.904,307.969,B8R1,1,RB.A12,80
80,B10R1_0,DCBQ.9R1.L,MB.A9R1,MB.A10R1,3,307.969,348.434,B10R1,0,RB.A12,81
81,B10R1_1,DCBQ.10R1.L,MB.A10R1,MB.A11R1,3,348.434,387.499,B10R1,1,RB.A12,82
82,B10R1_2,DCBQ.11R1.L,MB.A11R1,MB.A12R1,4,387.499,440.2807,B10R1,2,RB.A12,83
83,B12R1_0,DCBB.12R1.L,MB.A12R1,MB.C12R1,2,440.2807,471.6007,B12R1,0,RB.A12,84
84,B12R1_1,DCBB.A13R1.L,MB.C12R1,MB.B13R1,3,471.6007,509.3907,B12R1,1,RB.A12,85
85,B12R1_2,DCBQ.13R1.L,MB.B13R1,MB.A14R1,3,509.3907,547.1807,B12R1,2,RB.A12,86
86,B14R1_0,DCBB.14R1.L,MB.A14R1,MB.C14R1,2,547.1807,578.5007,B14R1,0,RB.A12,87
87,B14R1_1,DCBB.A15R1.L,MB.C14R1,MB.B15R1,3,578.5007,616.2907,B14R1,1,RB.A12,88
88,B14R1_2,DCBQ.15R1.L,MB.B15R1,MB.A16R1,3,616.2907,654.0807,B14R1,2,RB.A12,89
89,B16R1_0,DCBB.16R1.L,MB.A16R1,MB.C16R1,2,654.0807,685.4007,B16R1,0,RB.A12,90
90,B16R1_1,DCBB.A17R1.L,MB.C16R1,MB.B17R1,3,685.4007,723.1907,B16R1,1,RB.A12,91
91,B16R1_2,DCBQ.17R1.L,MB.B17R1,MB.A18R1,3,723.1907,760.9807,B16R1,2,RB.A12,92
92,B18R1_0,DCBB.18R1.L,MB.A18R1,MB.C18R1,2,760.9807,792.3007,B18R1,0,RB.A12,93
