,QPS Crate&Board,Bus Bar Segment Name,1st Magnet,2nd Magnet,Num of splices,Dcum1,Dcum2,QPS Crate,QPS Board,Circuit,#Segment
207,B26L3_2,DCBA.26L3.R,MB.C26L3,MB.A26L3,2,5429.1601,5460.4801,B26L3,2,RB.A23,52
208,B24L3_0,DCBA.B25L3.R,MB.A26L3,MB.B25L3,3,5460.4801,5498.2701,B24L3,0,RB.A23,53
209,B24L3_1,DCBQ.24L3.R,MB.B25L3,MB.C24L3,3,5498.2701,5536.0601,B24L3,1,RB.A23,54
210,B24L3_2,DCBA.24L3.R,MB.C24L3,MB.A24L3,2,5536.0601,5567.3801,B24L3,2,RB.A23,55
211,B22L3_0,DCBA.B23L3.R,MB.A24L3,MB.B23L3,3,5567.3801,5605.1701,B22L3,0,RB.A23,56
212,B22L3_1,DCBQ.22L3.R,MB.B23L3,MB.C22L3,3,5605.1701,5642.9601,B22L3,1,RB.A23,57
213,B22L3_2,DCBA.22L3.R,MB.C22L3,MB.A22L3,2,5642.9601,5674.2801,B22L3,2,RB.A23,58
214,B20L3_0,DCBA.B21L3.R,MB.A22L3,MB.B21L3,3,5674.2801,5712.0701,B20L3,0,RB.A23,59
215,B20L3_1,DCBQ.20L3.R,MB.B21L3,MB.C20L3,3,5712.0701,5749.8601,B20L3,1,RB.A23,60
216,B20L3_2,DCBA.20L3.R,MB.C20L3,MB.A20L3,2,5749.8601,5781.1801,B20L3,2,RB.A23,61
217,B18L3_0,DCBA.B19L3.R,MB.A20L3,MB.B19L3,3,5781.1801,5818.9701,B18L3,0,RB.A23,62
218,B18L3_1,DCBQ.18L3.R,MB.B19L3,MB.C18L3,3,5818.9701,5856.7601,B18L3,1,RB.A23,63
219,B18L3_2,DCBA.18L3.R,MB.C18L3,MB.A18L3,2,5856.7601,5888.0801,B18L3,2,RB.A23,64
220,B16L3_0,DCBA.B17L3.R,MB.A18L3,MB.B17L3,3,5888.0801,5925.8701,B16L3,0,RB.A23,65
221,B16L3_1,DCBQ.16L3.R,MB.B17L3,MB.C16L3,3,5925.8701,5963.6601,B16L3,1,RB.A23,66
222,B16L3_2,DCBA.16L3.R,MB.C16L3,MB.A16L3,2,5963.6601,5994.9801,B16L3,2,RB.A23,67
223,B14L3_0,DCBA.B15L3.R,MB.A16L3,MB.B15L3,3,5994.9801,6032.7701,B14L3,0,RB.A23,68
224,B14L3_1,DCBQ.14L3.R,MB.B15L3,MB.C14L3,3,6032.7701,6070.5601,B14L3,1,RB.A23,69
225,B14L3_2,DCBA.14L3.R,MB.C14L3,MB.A14L3,2,6070.5601,6101.8801,B14L3,2,RB.A23,70
226,B12L3_0,DCBA.B13L3.R,MB.A14L3,MB.B13L3,3,6101.8801,6139.6701,B12L3,0,RB.A23,71
227,B12L3_1,DCBQ.12L3.R,MB.B13L3,MB.C12L3,3,6139.6701,6177.4601,B12L3,1,RB.A23,72
228,B12L3_2,DCBA.12L3.R,MB.C12L3,MB.A12L3,2,6177.4601,6208.7801,B12L3,2,RB.A23,73
229,B10L3_0,DCBA.11L3.R,MB.A12L3,MB.A11L3,4,6208.7801,6261.5618,B10L3,0,RB.A23,74
230,B10L3_1,DCBA.10L3.R,MB.A11L3,MB.A10L3,3,6261.5618,6300.6268,B10L3,1,RB.A23,75
231,B10L3_2,DCBA.9L3.R,MB.A10L3,MB.A9L3,3,6300.6268,6341.0918,B10L3,2,RB.A23,76
232,B8L3_0,DCBA.8L3.R,MB.A9L3,MB.A8L3,3,6341.0918,6380.1568,B8L3,0,RB.A23,77
233,B8L3_1,DCBD.7L3.R,MB.A8L3,DFLAS.7L3.1,4,6380.1568,6411.1718,B8L3,1,RB.A23,78
234,B9L3_0,DCBA.8L3.L,DFLAS.7L3.2,MB.B8L3,5,6411.5118,6364.4968,B9L3,0,RB.A23,79
235,B9L3_1,DCBA.9L3.L,MB.B8L3,MB.B9L3,3,6364.4968,6325.4318,B9L3,1,RB.A23,80
236,B11L3_0,DCBA.10L3.L,MB.B9L3,MB.B10L3,3,6325.4318,6284.9668,B11L3,0,RB.A23,81
237,B11L3_1,DCBA.11L3.L,MB.B10L3,MB.B11L3,3,6284.9668,6245.9018,B11L3,1,RB.A23,82
238,B11L3_2,DCBA.12L3.L,MB.B11L3,MB.B12L3,4,6245.9018,6193.1201,B11L3,2,RB.A23,83
239,B13L3_0,DCBA.A13L3.L,MB.B12L3,MB.A13L3,3,6193.1201,6155.3301,B13L3,0,RB.A23,84
240,B13L3_1,DCBA.B13L3.L,MB.A13L3,MB.C13L3,2,6155.3301,6124.0101,B13L3,1,RB.A23,85
241,B13L3_2,DCBA.14L3.L,MB.C13L3,MB.B14L3,3,6124.0101,6086.2201,B13L3,2,RB.A23,86
242,B15L3_0,DCBA.A15L3.L,MB.B14L3,MB.A15L3,3,6086.2201,6048.4301,B15L3,0,RB.A23,87
243,B15L3_1,DCBA.B15L3.L,MB.A15L3,MB.C15L3,2,6048.4301,6017.1101,B15L3,1,RB.A23,88
244,B15L3_2,DCBA.16L3.L,MB.C15L3,MB.B16L3,3,6017.1101,5979.3201,B15L3,2,RB.A23,89
245,B17L3_0,DCBA.A17L3.L,MB.B16L3,MB.A17L3,3,5979.3201,5941.5301,B17L3,0,RB.A23,90
246,B17L3_1,DCBA.B17L3.L,MB.A17L3,MB.C17L3,2,5941.5301,5910.2101,B17L3,1,RB.A23,91
247,B17L3_2,DCBA.18L3.L,MB.C17L3,MB.B18L3,3,5910.2101,5872.4201,B17L3,2,RB.A23,92
248,B19L3_0,DCBA.A19L3.L,MB.B18L3,MB.A19L3,3,5872.4201,5834.6301,B19L3,0,RB.A23,93
249,B19L3_1,DCBA.B19L3.L,MB.A19L3,MB.C19L3,2,5834.6301,5803.3101,B19L3,1,RB.A23,94
250,B19L3_2,DCBA.20L3.L,MB.C19L3,MB.B20L3,3,5803.3101,5765.5201,B19L3,2,RB.A23,95
251,B21L3_0,DCBA.A21L3.L,MB.B20L3,MB.A21L3,3,5765.5201,5727.7301,B21L3,0,RB.A23,96
252,B21L3_1,DCBA.B21L3.L,MB.A21L3,MB.C21L3,2,5727.7301,5696.4101,B21L3,1,RB.A23,97
253,B21L3_2,DCBA.22L3.L,MB.C21L3,MB.B22L3,3,5696.4101,5658.6201,B21L3,2,RB.A23,98
254,B23L3_0,DCBA.A23L3.L,MB.B22L3,MB.A23L3,3,5658.6201,5620.8301,B23L3,0,RB.A23,99
255,B23L3_1,DCBA.B23L3.L,MB.A23L3,MB.C23L3,2,5620.8301,5589.5101,B23L3,1,RB.A23,100
256,B23L3_2,DCBA.24L3.L,MB.C23L3,MB.B24L3,3,5589.5101,5551.7201,B23L3,2,RB.A23,101
257,B25L3_0,DCBA.A25L3.L,MB.B24L3,MB.A25L3,3,5551.7201,5513.9301,B25L3,0,RB.A23,102
258,B25L3_1,DCBA.B25L3.L,MB.A25L3,MB.C25L3,2,5513.9301,5482.6101,B25L3,1,RB.A23,103
259,B25L3_2,DCBA.26L3.L,MB.C25L3,MB.B26L3,3,5482.6101,5444.8201,B25L3,2,RB.A23,104
260,B27L3_0,DCBA.A27L3.L,MB.B26L3,MB.A27L3,3,5444.8201,5407.0301,B27L3,0,RB.A23,105
261,B27L3_1,DCBA.B27L3.L,MB.A27L3,MB.C27L3,2,5407.0301,5375.7101,B27L3,1,RB.A23,106
262,B27L3_2,DCBA.28L3.L,MB.C27L3,MB.B28L3,3,5375.7101,5337.9201,B27L3,2,RB.A23,107
263,B29L3_0,DCBA.A29L3.L,MB.B28L3,MB.A29L3,3,5337.9201,5300.1301,B29L3,0,RB.A23,108
264,B29L3_1,DCBA.B29L3.L,MB.A29L3,MB.C29L3,2,5300.1301,5268.8101,B29L3,1,RB.A23,109
265,B29L3_2,DCBA.30L3.L,MB.C29L3,MB.B30L3,3,5268.8101,5231.0201,B29L3,2,RB.A23,110
266,B31L3_0,DCBA.A31L3.L,MB.B30L3,MB.A31L3,3,5231.0201,5193.2301,B31L3,0,RB.A23,111
267,B31L3_1,DCBA.B31L3.L,MB.A31L3,MB.C31L3,2,5193.2301,5161.9101,B31L3,1,RB.A23,112
268,B31L3_2,DCBA.32L3.L,MB.C31L3,MB.B32L3,3,5161.9101,5124.1201,B31L3,2,RB.A23,113
269,B33L3_0,DCBA.A33L3.L,MB.B32L3,MB.A33L3,3,5124.1201,5086.3301,B33L3,0,RB.A23,114
270,B33L3_1,DCBA.B33L3.L,MB.A33L3,MB.C33L3,2,5086.3301,5055.0101,B33L3,1,RB.A23,115
271,B33L3_2,DCBA.34L3.L,MB.C33L3,MB.B34L3,3,5055.0101,5017.2201,B33L3,2,RB.A23,116
272,B34R2_0,DCBA.B34R2.L,MB.B34L3,MB.C34R2,3,5017.2201,4979.4301,B34R2,0,RB.A23,117
273,B34R2_1,DCBA.A34R2.L,MB.C34R2,MB.A34R2,2,4979.4301,4948.1101,B34R2,1,RB.A23,118
274,B32R2_0,DCBA.33R2.L,MB.A34R2,MB.B33R2,3,4948.1101,4910.3201,B32R2,0,RB.A23,119
275,B32R2_1,DCBA.B32R2.L,MB.B33R2,MB.C32R2,3,4910.3201,4872.5301,B32R2,1,RB.A23,120
276,B32R2_2,DCBA.A32R2.L,MB.C32R2,MB.A32R2,2,4872.5301,4841.2101,B32R2,2,RB.A23,121
277,B30R2_0,DCBA.31R2.L,MB.A32R2,MB.B31R2,3,4841.2101,4803.4201,B30R2,0,RB.A23,122
278,B30R2_1,DCBA.B30R2.L,MB.B31R2,MB.C30R2,3,4803.4201,4765.6301,B30R2,1,RB.A23,123
279,B30R2_2,DCBA.A30R2.L,MB.C30R2,MB.A30R2,2,4765.6301,4734.3101,B30R2,2,RB.A23,124
280,B28R2_0,DCBA.29R2.L,MB.A30R2,MB.B29R2,3,4734.3101,4696.5201,B28R2,0,RB.A23,125
281,B28R2_1,DCBA.B28R2.L,MB.B29R2,MB.C28R2,3,4696.5201,4658.7301,B28R2,1,RB.A23,126
282,B28R2_2,DCBA.A28R2.L,MB.C28R2,MB.A28R2,2,4658.7301,4627.4101,B28R2,2,RB.A23,127
283,B26R2_0,DCBA.27R2.L,MB.A28R2,MB.B27R2,3,4627.4101,4589.6201,B26R2,0,RB.A23,128
284,B26R2_1,DCBA.B26R2.L,MB.B27R2,MB.C26R2,3,4589.6201,4551.8301,B26R2,1,RB.A23,129
285,B26R2_2,DCBA.A26R2.L,MB.C26R2,MB.A26R2,2,4551.8301,4520.5101,B26R2,2,RB.A23,130
286,B24R2_0,DCBA.25R2.L,MB.A26R2,MB.B25R2,3,4520.5101,4482.7201,B24R2,0,RB.A23,131
287,B24R2_1,DCBA.B24R2.L,MB.B25R2,MB.C24R2,3,4482.7201,4444.9301,B24R2,1,RB.A23,132
288,B24R2_2,DCBA.A24R2.L,MB.C24R2,MB.A24R2,2,4444.9301,4413.6101,B24R2,2,RB.A23,133
289,B22R2_0,DCBA.23R2.L,MB.A24R2,MB.B23R2,3,4413.6101,4375.8201,B22R2,0,RB.A23,134
290,B22R2_1,DCBA.B22R2.L,MB.B23R2,MB.C22R2,3,4375.8201,4338.0301,B22R2,1,RB.A23,135
291,B22R2_2,DCBA.A22R2.L,MB.C22R2,MB.A22R2,2,4338.0301,4306.7101,B22R2,2,RB.A23,136
292,B20R2_0,DCBA.21R2.L,MB.A22R2,MB.B21R2,3,4306.7101,4268.9201,B20R2,0,RB.A23,137
293,B20R2_1,DCBA.B20R2.L,MB.B21R2,MB.C20R2,3,4268.9201,4231.1301,B20R2,1,RB.A23,138
294,B20R2_2,DCBA.A20R2.L,MB.C20R2,MB.A20R2,2,4231.1301,4199.8101,B20R2,2,RB.A23,139
295,B18R2_0,DCBA.19R2.L,MB.A20R2,MB.B19R2,3,4199.8101,4162.0201,B18R2,0,RB.A23,140
296,B18R2_1,DCBA.B18R2.L,MB.B19R2,MB.C18R2,3,4162.0201,4124.2301,B18R2,1,RB.A23,141
297,B18R2_2,DCBA.A18R2.L,MB.C18R2,MB.A18R2,2,4124.2301,4092.9101,B18R2,2,RB.A23,142
298,B16R2_0,DCBA.17R2.L,MB.A18R2,MB.B17R2,3,4092.9101,4055.1201,B16R2,0,RB.A23,143
299,B16R2_1,DCBA.B16R2.L,MB.B17R2,MB.C16R2,3,4055.1201,4017.3301,B16R2,1,RB.A23,144
300,B16R2_2,DCBA.A16R2.L,MB.C16R2,MB.A16R2,2,4017.3301,3986.0101,B16R2,2,RB.A23,145
301,B14R2_0,DCBA.15R2.L,MB.A16R2,MB.B15R2,3,3986.0101,3948.2201,B14R2,0,RB.A23,146
302,B14R2_1,DCBA.B14R2.L,MB.B15R2,MB.C14R2,3,3948.2201,3910.4301,B14R2,1,RB.A23,147
303,B14R2_2,DCBA.A14R2.L,MB.C14R2,MB.A14R2,2,3910.4301,3879.1101,B14R2,2,RB.A23,148
304,B12R2_0,DCBA.13R2.L,MB.A14R2,MB.B13R2,3,3879.1101,3841.3201,B12R2,0,RB.A23,149
305,B12R2_1,DCBA.B12R2.L,MB.B13R2,MB.C12R2,3,3841.3201,3803.5301,B12R2,1,RB.A23,150
306,B12R2_2,DCBA.A12R2.L,MB.C12R2,MB.A12R2,2,3803.5301,3772.2101,B12R2,2,RB.A23,151
307,B10R2_0,DCBA.11R2.L,MB.A12R2,MB.A11R2,4,3772.2101,3720.3704,B10R2,0,RB.A23,152
308,B10R2_1,DCBA.10R2.L,MB.A11R2,MB.A10R2,3,3720.3704,3681.3054,B10R2,1,RB.A23,153
309,B10R2_2,DCBA.9R2.L,MB.A10R2,MB.A9R2,3,3681.3054,3640.8404,B10R2,2,RB.A23,154
310,B8R2_0,DCBA.8R2.L,MB.A9R2,MB.A8R2,3,3640.8404,3601.7754,B8R2,0,RB.A23,155
311,B8R2_1,DCBD.7R2.L,MB.A8R2,DFLAS.7R2.6,4,3601.7754,3582.2704,B8R2,1,RB.A23,156
312,B9L4_0,DCBA.8L4.L,DFLAS.7L4.6,MB.B8L4,5,9743.0212,9696.3462,B9L4,0,RB.A34,1
313,B9L4_1,DCBA.9L4.L,MB.B8L4,MB.B9L4,3,9696.3462,9657.2812,B9L4,1,RB.A34,2
314,B11L4_0,DCBA.10L4.L,MB.B9L4,MB.B10L4,3,9657.2812,9616.8162,B11L4,0,RB.A34,3
315,B11L4_1,DCBA.11L4.L,MB.B10L4,MB.B11L4,3,9616.8162,9577.7512,B11L4,1,RB.A34,4
316,B11L4_2,DCBA.12L4.L,MB.B11L4,MB.B12L4,4,9577.7512,9525.9115,B11L4,2,RB.A34,5
317,B13L4_0,DCBA.A13L4.L,MB.B12L4,MB.A13L4,3,9525.9115,9488.1215,B13L4,0,RB.A34,6
318,B13L4_1,DCBA.B13L4.L,MB.A13L4,MB.C13L4,2,9488.1215,9456.8015,B13L4,1,RB.A34,7
319,B13L4_2,DCBA.14L4.L,MB.C13L4,MB.B14L4,3,9456.8015,9419.0115,B13L4,2,RB.A34,8
320,B15L4_0,DCBA.A15L4.L,MB.B14L4,MB.A15L4,3,9419.0115,9381.2215,B15L4,0,RB.A34,9
321,B15L4_1,DCBA.B15L4.L,MB.A15L4,MB.C15L4,2,9381.2215,9349.9015,B15L4,1,RB.A34,10
322,B15L4_2,DCBA.16L4.L,MB.C15L4,MB.B16L4,3,9349.9015,9312.1115,B15L4,2,RB.A34,11
323,B17L4_0,DCBA.A17L4.L,MB.B16L4,MB.A17L4,3,9312.1115,9274.3215,B17L4,0,RB.A34,12
324,B17L4_1,DCBA.B17L4.L,MB.A17L4,MB.C17L4,2,9274.3215,9243.0015,B17L4,1,RB.A34,13
325,B17L4_2,DCBA.18L4.L,MB.C17L4,MB.B18L4,3,9243.0015,9205.2115,B17L4,2,RB.A34,14
326,B19L4_0,DCBA.A19L4.L,MB.B18L4,MB.A19L4,3,9205.2115,9167.4215,B19L4,0,RB.A34,15
327,B19L4_1,DCBA.B19L4.L,MB.A19L4,MB.C19L4,2,9167.4215,9136.1015,B19L4,1,RB.A34,16
328,B19L4_2,DCBA.20L4.L,MB.C19L4,MB.B20L4,3,9136.1015,9098.3115,B19L4,2,RB.A34,17
329,B21L4_0,DCBA.A21L4.L,MB.B20L4,MB.A21L4,3,9098.3115,9060.5215,B21L4,0,RB.A34,18
330,B21L4_1,DCBA.B21L4.L,MB.A21L4,MB.C21L4,2,9060.5215,9029.2015,B21L4,1,RB.A34,19
331,B21L4_2,DCBA.22L4.L,MB.C21L4,MB.B22L4,3,9029.2015,8991.4115,B21L4,2,RB.A34,20
332,B23L4_0,DCBA.A23L4.L,MB.B22L4,MB.A23L4,3,8991.4115,8953.6215,B23L4,0,RB.A34,21
333,B23L4_1,DCBA.B23L4.L,MB.A23L4,MB.C23L4,2,8953.6215,8922.3015,B23L4,1,RB.A34,22
334,B23L4_2,DCBA.24L4.L,MB.C23L4,MB.B24L4,3,8922.3015,8884.5115,B23L4,2,RB.A34,23
335,B25L4_0,DCBA.A25L4.L,MB.B24L4,MB.A25L4,3,8884.5115,8846.7215,B25L4,0,RB.A34,24
336,B25L4_1,DCBA.B25L4.L,MB.A25L4,MB.C25L4,2,8846.7215,8815.4015,B25L4,1,RB.A34,25
337,B25L4_2,DCBA.26L4.L,MB.C25L4,MB.B26L4,3,8815.4015,8777.6115,B25L4,2,RB.A34,26
338,B27L4_0,DCBA.A27L4.L,MB.B26L4,MB.A27L4,3,8777.6115,8739.8215,B27L4,0,RB.A34,27
339,B27L4_1,DCBA.B27L4.L,MB.A27L4,MB.C27L4,2,8739.8215,8708.5015,B27L4,1,RB.A34,28
340,B27L4_2,DCBA.28L4.L,MB.C27L4,MB.B28L4,3,8708.5015,8670.7115,B27L4,2,RB.A34,29
341,B29L4_0,DCBA.A29L4.L,MB.B28L4,MB.A29L4,3,8670.7115,8632.9215,B29L4,0,RB.A34,30
342,B29L4_1,DCBA.B29L4.L,MB.A29L4,MB.C29L4,2,8632.9215,8601.6015,B29L4,1,RB.A34,31
343,B29L4_2,DCBA.30L4.L,MB.C29L4,MB.B30L4,3,8601.6015,8563.8115,B29L4,2,RB.A34,32
344,B31L4_0,DCBA.A31L4.L,MB.B30L4,MB.A31L4,3,8563.8115,8526.0215,B31L4,0,RB.A34,33
345,B31L4_1,DCBA.B31L4.L,MB.A31L4,MB.C31L4,2,8526.0215,8494.7015,B31L4,1,RB.A34,34
346,B31L4_2,DCBA.32L4.L,MB.C31L4,MB.B32L4,3,8494.7015,8456.9115,B31L4,2,RB.A34,35
347,B33L4_0,DCBA.A33L4.L,MB.B32L4,MB.A33L4,3,8456.9115,8419.1215,B33L4,0,RB.A34,36
348,B33L4_1,DCBA.B33L4.L,MB.A33L4,MB.C33L4,2,8419.1215,8387.8015,B33L4,1,RB.A34,37
349,B33L4_2,DCBA.34L4.L,MB.C33L4,MB.B34L4,3,8387.8015,8350.0115,B33L4,2,RB.A34,38
350,B34R3_0,DCBA.B34R3.L,MB.B34L4,MB.C34R3,3,8350.0115,8312.2215,B34R3,0,RB.A34,39
351,B34R3_1,DCBA.A34R3.L,MB.C34R3,MB.A34R3,2,8312.2215,8280.9015,B34R3,1,RB.A34,40
352,B32R3_0,DCBA.33R3.L,MB.A34R3,MB.B33R3,3,8280.9015,8243.1115,B32R3,0,RB.A34,41
353,B32R3_1,DCBA.B32R3.L,MB.B33R3,MB.C32R3,3,8243.1115,8205.3215,B32R3,1,RB.A34,42
354,B32R3_2,DCBA.A32R3.L,MB.C32R3,MB.A32R3,2,8205.3215,8174.0015,B32R3,2,RB.A34,43
355,B30R3_0,DCBA.31R3.L,MB.A32R3,MB.B31R3,3,8174.0015,8136.2115,B30R3,0,RB.A34,44
356,B30R3_1,DCBA.B30R3.L,MB.B31R3,MB.C30R3,3,8136.2115,8098.4215,B30R3,1,RB.A34,45
357,B30R3_2,DCBA.A30R3.L,MB.C30R3,MB.A30R3,2,8098.4215,8067.1015,B30R3,2,RB.A34,46
358,B28R3_0,DCBA.29R3.L,MB.A30R3,MB.B29R3,4,8067.1015,8029.3115,B28R3,0,RB.A34,47
359,B28R3_1,DCBA.B28R3.L,MB.B29R3,MB.C28R3,3,8029.3115,7991.5215,B28R3,1,RB.A34,48
360,B28R3_2,DCBA.A28R3.L,MB.C28R3,MB.A28R3,2,7991.5215,7960.2015,B28R3,2,RB.A34,49
361,B26R3_0,DCBA.27R3.L,MB.A28R3,MB.B27R3,3,7960.2015,7922.4115,B26R3,0,RB.A34,50
362,B26R3_1,DCBA.B26R3.L,MB.B27R3,MB.C26R3,3,7922.4115,7884.6215,B26R3,1,RB.A34,51
363,B26R3_2,DCBA.A26R3.L,MB.C26R3,MB.A26R3,2,7884.6215,7853.3015,B26R3,2,RB.A34,52
364,B24R3_0,DCBA.25R3.L,MB.A26R3,MB.B25R3,3,7853.3015,7815.5115,B24R3,0,RB.A34,53
365,B24R3_1,DCBA.B24R3.L,MB.B25R3,MB.C24R3,3,7815.5115,7777.7215,B24R3,1,RB.A34,54
366,B24R3_2,DCBA.A24R3.L,MB.C24R3,MB.A24R3,2,7777.7215,7746.4015,B24R3,2,RB.A34,55
367,B22R3_0,DCBA.23R3.L,MB.A24R3,MB.B23R3,3,7746.4015,7708.6115,B22R3,0,RB.A34,56
368,B22R3_1,DCBA.B22R3.L,MB.B23R3,MB.C22R3,3,7708.6115,7670.8215,B22R3,1,RB.A34,57
369,B22R3_2,DCBA.A22R3.L,MB.C22R3,MB.A22R3,2,7670.8215,7639.5015,B22R3,2,RB.A34,58
370,B20R3_0,DCBA.21R3.L,MB.A22R3,MB.B21R3,3,7639.5015,7601.7115,B20R3,0,RB.A34,59
371,B20R3_1,DCBA.B20R3.L,MB.B21R3,MB.C20R3,3,7601.7115,7563.9215,B20R3,1,RB.A34,60
372,B20R3_2,DCBA.A20R3.L,MB.C20R3,MB.A20R3,2,7563.9215,7532.6015,B20R3,2,RB.A34,61
373,B18R3_0,DCBA.19R3.L,MB.A20R3,MB.B19R3,3,7532.6015,7494.8115,B18R3,0,RB.A34,62
374,B18R3_1,DCBA.B18R3.L,MB.B19R3,MB.C18R3,3,7494.8115,7457.0215,B18R3,1,RB.A34,63
375,B18R3_2,DCBA.A18R3.L,MB.C18R3,MB.A18R3,2,7457.0215,7425.7015,B18R3,2,RB.A34,64
376,B16R3_0,DCBA.17R3.L,MB.A18R3,MB.B17R3,3,7425.7015,7387.9115,B16R3,0,RB.A34,65
377,B16R3_1,DCBA.B16R3.L,MB.B17R3,MB.C16R3,3,7387.9115,7350.1215,B16R3,1,RB.A34,66
378,B16R3_2,DCBA.A16R3.L,MB.C16R3,MB.A16R3,2,7350.1215,7318.8015,B16R3,2,RB.A34,67
379,B14R3_0,DCBA.15R3.L,MB.A16R3,MB.B15R3,3,7318.8015,7281.0115,B14R3,0,RB.A34,68
380,B14R3_1,DCBA.B14R3.L,MB.B15R3,MB.C14R3,3,7281.0115,7243.2215,B14R3,1,RB.A34,69
381,B14R3_2,DCBA.A14R3.L,MB.C14R3,MB.A14R3,2,7243.2215,7211.9015,B14R3,2,RB.A34,70
382,B12R3_0,DCBA.13R3.L,MB.A14R3,MB.B13R3,3,7211.9015,7174.1115,B12R3,0,RB.A34,71
383,B12R3_1,DCBA.B12R3.L,MB.B13R3,MB.C12R3,3,7174.1115,7136.3215,B12R3,1,RB.A34,72
384,B12R3_2,DCBA.A12R3.L,MB.C12R3,MB.A12R3,2,7136.3215,7105.0015,B12R3,2,RB.A34,73
385,B10R3_0,DCBA.11R3.L,MB.A12R3,MB.A11R3,4,7105.0015,7052.2198,B10R3,0,RB.A34,74
386,B10R3_1,DCBA.10R3.L,MB.A11R3,MB.A10R3,3,7052.2198,7013.1548,B10R3,1,RB.A34,75
387,B10R3_2,DCBA.9R3.L,MB.A10R3,MB.A9R3,3,7013.1548,6972.6898,B10R3,2,RB.A34,76
388,B8R3_0,DCBA.8R3.L,MB.A9R3,MB.A8R3,3,6972.6898,6933.6248,B8R3,0,RB.A34,77
389,B8R3_1,DCBD.7R3.L,MB.A8R3,DFLAS.7R3.2,4,6933.6248,6921.5898,B8R3,1,RB.A34,78
390,B9R3_0,DCBA.8R3.R,DFLAS.7R3.1,MB.B8R3,5,6921.9298,6949.2848,B9R3,0,RB.A34,79
391,B9R3_1,DCBA.9R3.R,MB.B8R3,MB.B9R3,3,6949.2848,6988.3498,B9R3,1,RB.A34,80
392,B11R3_0,DCBA.10R3.R,MB.B9R3,MB.B10R3,3,6988.3498,7028.8148,B11R3,0,RB.A34,81
393,B11R3_1,DCBA.11R3.R,MB.B10R3,MB.B11R3,3,7028.8148,7067.8798,B11R3,1,RB.A34,82
394,B11R3_2,DCBA.A12R3.R,MB.B11R3,MB.B12R3,4,7067.8798,7120.6615,B11R3,2,RB.A34,83
395,B13R3_0,DCBQ.12R3.R,MB.B12R3,MB.A13R3,3,7120.6615,7158.4515,B13R3,0,RB.A34,84
396,B13R3_1,DCBA.13R3.R,MB.A13R3,MB.C13R3,2,7158.4515,7189.7715,B13R3,1,RB.A34,85
397,B13R3_2,DCBA.A14R3.R,MB.C13R3,MB.B14R3,3,7189.7715,7227.5615,B13R3,2,RB.A34,86
398,B15R3_0,DCBQ.14R3.R,MB.B14R3,MB.A15R3,3,7227.5615,7265.3515,B15R3,0,RB.A34,87
399,B15R3_1,DCBA.15R3.R,MB.A15R3,MB.C15R3,2,7265.3515,7296.6715,B15R3,1,RB.A34,88
400,B15R3_2,DCBA.A16R3.R,MB.C15R3,MB.B16R3,3,7296.6715,7334.4615,B15R3,2,RB.A34,89
401,B17R3_0,DCBQ.16R3.R,MB.B16R3,MB.A17R3,3,7334.4615,7372.2515,B17R3,0,RB.A34,90
402,B17R3_1,DCBA.17R3.R,MB.A17R3,MB.C17R3,2,7372.2515,7403.5715,B17R3,1,RB.A34,91
403,B17R3_2,DCBA.A18R3.R,MB.C17R3,MB.B18R3,3,7403.5715,7441.3615,B17R3,2,RB.A34,92
404,B19R3_0,DCBQ.18R3.R,MB.B18R3,MB.A19R3,3,7441.3615,7479.1515,B19R3,0,RB.A34,93
405,B19R3_1,DCBA.19R3.R,MB.A19R3,MB.C19R3,2,7479.1515,7510.4715,B19R3,1,RB.A34,94
406,B19R3_2,DCBA.A20R3.R,MB.C19R3,MB.B20R3,3,7510.4715,7548.2615,B19R3,2,RB.A34,95
407,B21R3_0,DCBQ.20R3.R,MB.B20R3,MB.A21R3,3,7548.2615,7586.0515,B21R3,0,RB.A34,96
408,B21R3_1,DCBA.21R3.R,MB.A21R3,MB.C21R3,2,7586.0515,7617.3715,B21R3,1,RB.A34,97
409,B21R3_2,DCBA.A22R3.R,MB.C21R3,MB.B22R3,3,7617.3715,7655.1615,B21R3,2,RB.A34,98
410,B23R3_0,DCBQ.22R3.R,MB.B22R3,MB.A23R3,3,7655.1615,7692.9515,B23R3,0,RB.A34,99
411,B23R3_1,DCBA.23R3.R,MB.A23R3,MB.C23R3,2,7692.9515,7724.2715,B23R3,1,RB.A34,100
412,B23R3_2,DCBA.A24R3.R,MB.C23R3,MB.B24R3,3,7724.2715,7762.0615,B23R3,2,RB.A34,101
413,B25R3_0,DCBQ.24R3.R,MB.B24R3,MB.A25R3,3,7762.0615,7799.8515,B25R3,0,RB.A34,102
414,B25R3_1,DCBA.25R3.R,MB.A25R3,MB.C25R3,2,7799.8515,7831.1715,B25R3,1,RB.A34,103
415,B25R3_2,DCBA.A26R3.R,MB.C25R3,MB.B26R3,3,7831.1715,7868.9615,B25R3,2,RB.A34,104
416,B27R3_0,DCBQ.26R3.R,MB.B26R3,MB.A27R3,3,7868.9615,7906.7515,B27R3,0,RB.A34,105
417,B27R3_1,DCBA.27R3.R,MB.A27R3,MB.C27R3,2,7906.7515,7938.0715,B27R3,1,RB.A34,106
