Circuit,Crate,U_DIODE_RB,#Diode_circuit
RB.A12,B11L2,MB.B10L2,152
RB.A12,B11L2,MB.B9L2,153
RB.A12,B9L2,MB.B8L2,154
RB.A23,B9R2,MB.B8R2,1
RB.A23,B11R2,MB.B9R2,2
RB.A23,B11R2,MB.B10R2,3
RB.A23,B11R2,MB.B11R2,4
RB.A23,B13R2,MB.B12R2,5
RB.A23,B13R2,MB.A13R2,6
RB.A23,B13R2,MB.C13R2,7
RB.A23,B15R2,MB.B14R2,8
RB.A23,B15R2,MB.A15R2,9
RB.A23,B15R2,MB.C15R2,10
RB.A23,B17R2,MB.B16R2,11
RB.A23,B17R2,MB.A17R2,12
RB.A23,B17R2,MB.C17R2,13
RB.A23,B19R2,MB.B18R2,14
RB.A23,B19R2,MB.A19R2,15
RB.A23,B19R2,MB.C19R2,16
RB.A23,B21R2,MB.B20R2,17
RB.A23,B21R2,MB.A21R2,18
RB.A23,B21R2,MB.C21R2,19
RB.A23,B23R2,MB.B22R2,20
RB.A23,B23R2,MB.A23R2,21
RB.A23,B23R2,MB.C23R2,22
RB.A23,B25R2,MB.B24R2,23
RB.A23,B25R2,MB.A25R2,24
RB.A23,B25R2,MB.C25R2,25
RB.A23,B27R2,MB.B26R2,26
RB.A23,B27R2,MB.A27R2,27
RB.A23,B27R2,MB.C27R2,28
RB.A23,B29R2,MB.B28R2,29
RB.A23,B29R2,MB.A29R2,30
RB.A23,B29R2,MB.C29R2,31
RB.A23,B31R2,MB.B30R2,32
RB.A23,B31R2,MB.A31R2,33
RB.A23,B31R2,MB.C31R2,34
RB.A23,B33R2,MB.B32R2,35
RB.A23,B33R2,MB.A33R2,36
RB.A23,B33R2,MB.C33R2,37
RB.A23,B34L3,MB.B34R2,38
RB.A23,B34L3,MB.C34L3,39
RB.A23,B34L3,MB.A34L3,40
RB.A23,B32L3,MB.B33L3,41
RB.A23,B32L3,MB.C32L3,42
RB.A23,B32L3,MB.A32L3,43
RB.A23,B30L3,MB.B31L3,44
RB.A23,B30L3,MB.C30L3,45
RB.A23,B30L3,MB.A30L3,46
RB.A23,B28L3,MB.B29L3,47
RB.A23,B28L3,MB.C28L3,48
RB.A23,B28L3,MB.A28L3,49
RB.A23,B26L3,MB.B27L3,50
RB.A23,B26L3,MB.C26L3,51
RB.A23,B26L3,MB.A26L3,52
RB.A23,B24L3,MB.B25L3,53
RB.A23,B24L3,MB.C24L3,54
RB.A23,B24L3,MB.A24L3,55
RB.A23,B22L3,MB.B23L3,56
RB.A23,B22L3,MB.C22L3,57
RB.A23,B22L3,MB.A22L3,58
RB.A23,B20L3,MB.B21L3,59
RB.A23,B20L3,MB.C20L3,60
RB.A23,B20L3,MB.A20L3,61
RB.A23,B18L3,MB.B19L3,62
RB.A23,B18L3,MB.C18L3,63
RB.A23,B18L3,MB.A18L3,64
RB.A23,B16L3,MB.B17L3,65
RB.A23,B16L3,MB.C16L3,66
RB.A23,B16L3,MB.A16L3,67
RB.A23,B14L3,MB.B15L3,68
RB.A23,B14L3,MB.C14L3,69
RB.A23,B14L3,MB.A14L3,70
RB.A23,B12L3,MB.B13L3,71
RB.A23,B12L3,MB.C12L3,72
RB.A23,B12L3,MB.A12L3,73
RB.A23,B10L3,MB.A11L3,74
RB.A23,B10L3,MB.A10L3,75
RB.A23,B10L3,MB.A9L3,76
RB.A23,B8L3,MB.A8L3,77
RB.A23,B9L3,MB.B8L3,78
RB.A23,B11L3,MB.B9L3,79
RB.A23,B11L3,MB.B10L3,80
RB.A23,B11L3,MB.B11L3,81
RB.A23,B13L3,MB.B12L3,82
RB.A23,B13L3,MB.A13L3,83
RB.A23,B13L3,MB.C13L3,84
RB.A23,B15L3,MB.B14L3,85
RB.A23,B15L3,MB.A15L3,86
RB.A23,B15L3,MB.C15L3,87
RB.A23,B17L3,MB.B16L3,88
RB.A23,B17L3,MB.A17L3,89
RB.A23,B17L3,MB.C17L3,90
RB.A23,B19L3,MB.B18L3,91
RB.A23,B19L3,MB.A19L3,92
RB.A23,B19L3,MB.C19L3,93
RB.A23,B21L3,MB.B20L3,94
RB.A23,B21L3,MB.A21L3,95
RB.A23,B21L3,MB.C21L3,96
RB.A23,B23L3,MB.B22L3,97
RB.A23,B23L3,MB.A23L3,98
RB.A23,B23L3,MB.C23L3,99
RB.A23,B25L3,MB.B24L3,100
RB.A23,B25L3,MB.A25L3,101
RB.A23,B25L3,MB.C25L3,102
RB.A23,B27L3,MB.B26L3,103
RB.A23,B27L3,MB.A27L3,104
RB.A23,B27L3,MB.C27L3,105
RB.A23,B29L3,MB.B28L3,106
RB.A23,B29L3,MB.A29L3,107
RB.A23,B29L3,MB.C29L3,108
RB.A23,B31L3,MB.B30L3,109
RB.A23,B31L3,MB.A31L3,110
RB.A23,B31L3,MB.C31L3,111
RB.A23,B33L3,MB.B32L3,112
RB.A23,B33L3,MB.A33L3,113
RB.A23,B33L3,MB.C33L3,114
RB.A23,B34R2,MB.B34L3,115
RB.A23,B34R2,MB.C34R2,116
RB.A23,B34R2,MB.A34R2,117
RB.A23,B32R2,MB.B33R2,118
RB.A23,B32R2,MB.C32R2,119
RB.A23,B32R2,MB.A32R2,120
RB.A23,B30R2,MB.B31R2,121
RB.A23,B30R2,MB.C30R2,122
RB.A23,B30R2,MB.A30R2,123
RB.A23,B28R2,MB.B29R2,124
RB.A23,B28R2,MB.C28R2,125
RB.A23,B28R2,MB.A28R2,126
RB.A23,B26R2,MB.B27R2,127
RB.A23,B26R2,MB.C26R2,128
RB.A23,B26R2,MB.A26R2,129
RB.A23,B24R2,MB.B25R2,130
